WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00119,Southeast,Khan,Replace,,44082,44091,2,,,0.5,120,Account,9,140,70,70,120,190,190,Tue,Thu
A00120,Central,Cartier,Repair,,44082,44095,1,,,1.75,475,Account,13,80,140,140,475,615,615,Tue,Mon
A00121,Southeast,Khan,Replace,,44082,44096,1,,,1.75,341,C.O.D.,14,80,140,140,341,481,481,Tue,Tue
A00122,Northwest,Khan,Assess,,44082,44132,1,,,0.75,61.1806,C.O.D.,50,80,60,60,61.1806,121.1806,121.1806,Tue,Wed
A00123,South,Lopez,Replace,,44082,44152,1,,,0.5,155.3931,Account,70,80,40,40,155.3931,195.3931,195.3931,Tue,Tue
A00124,Northwest,Michner,Replace,Yes,44083,44098,2,,,0.5,204.284,C.O.D.,15,140,70,70,204.284,274.284,274.284,Wed,Thu
A00125,South,Lopez,Assess,,44083,44103,1,,,0.5,37.9174,Account,20,80,40,40,37.9174,77.9174,77.9174,Wed,Tue
A00126,Northwest,Burton,Deliver,Yes,44083,44103,1,,,0.25,88.4057,Account,20,80,20,20,88.4057,108.4057,108.4057,Wed,Tue
A00127,South,Lopez,Deliver,,44083,44103,1,,,0.25,202.2864,Account,20,80,20,20,202.2864,222.2864,222.2864,Wed,Tue
A00128,West,Khan,Assess,,44084,44102,1,,,0.5,120,P.O.,18,80,40,40,120,160,160,Thu,Mon
A00129,Northwest,Michner,Deliver,,44085,44088,1,,,0.25,120,Account,3,80,20,20,120,140,140,Fri,Mon
A00130,Southwest,Cartier,Replace,,44085,44089,2,,,0.5,535.6248,C.O.D.,4,140,70,70,535.6248,605.6248,605.6248,Fri,Tue
A00131,Northwest,Khan,Assess,,44085,44097,2,,,0.25,24.63,Account,12,140,35,35,24.63,59.63,59.63,Fri,Wed
A00132,Northwest,Khan,Replace,,44085,44100,2,,,0.5,43.26,Account,15,140,70,70,43.26,113.26,113.26,Fri,Sat
A00133,West,Khan,Assess,,44085,44110,1,,,0.25,21.33,Account,25,80,20,20,21.33,41.33,41.33,Fri,Tue
A00134,West,Khan,Replace,,44086,44102,1,,,1,0.456,C.O.D.,16,80,80,80,0.456,80.456,80.456,Sat,Mon
A00135,Northwest,Khan,Assess,,44088,44098,2,,,0.25,126.6231,C.O.D.,10,140,35,35,126.6231,161.6231,161.6231,Mon,Thu
A00136,West,Khan,Replace,,44088,44102,1,,,1.5,251.0033,Account,14,80,120,120,251.0033,371.0033,371.0033,Mon,Mon
A00137,Southeast,Cartier,Assess,Yes,44088,44109,1,,,0.5,395.28,P.O.,21,80,40,40,395.28,435.28,435.28,Mon,Mon
A00138,Northwest,Michner,Deliver,Yes,44088,44111,1,,,0.25,36,Account,23,80,20,20,36,56,56,Mon,Wed
A00139,South,Lopez,Assess,,44088,44158,1,,,1.75,510.6753,P.O.,70,80,140,140,510.6753,650.6753,650.6753,Mon,Mon
A00140,Northwest,Michner,Replace,,44089,44111,2,,,0.5,42.66,Account,22,140,70,70,42.66,112.66,112.66,Tue,Wed
A00141,West,Khan,Replace,,44090,44102,1,,,1,5.472,C.O.D.,12,80,80,80,5.472,85.472,85.472,Wed,Mon
A00142,Northwest,Khan,Assess,Yes,44090,44102,1,,,0.25,45.2374,Account,12,80,20,20,45.2374,65.2374,65.2374,Wed,Mon
A00143,Northwest,Burton,Assess,,44090,44105,2,,,0.75,199.452,C.O.D.,15,140,105,105,199.452,304.452,304.452,Wed,Thu
A00144,Southeast,Burton,Assess,,44090,44109,2,,,0.5,144,C.O.D.,19,140,70,70,144,214,214,Wed,Mon
A00145,Southeast,Burton,Deliver,,44091,44110,1,,,0.25,6.216,C.O.D.,19,80,20,20,6.216,26.216,26.216,Thu,Tue
A00146,Northwest,Michner,Replace,,44091,44116,2,,,1,36,Account,25,140,140,140,36,176,176,Thu,Mon
A00147,Central,Cartier,Assess,,44091,44116,2,,,0.75,40,C.O.D.,25,140,105,105,40,145,145,Thu,Mon
A00148,South,Lopez,Assess,,44091,44152,1,,,0.25,87.5813,Account,61,80,20,20,87.5813,107.5813,107.5813,Thu,Tue
A00149,West,Khan,Replace,,44095,44102,1,,,0.5,30,C.O.D.,7,80,40,40,30,70,70,Mon,Mon
A00150,Southeast,Michner,Deliver,,44095,44123,1,,,0.25,144,P.O.,28,80,20,20,144,164,164,Mon,Mon
A00151,West,Khan,Replace,Yes,44095,44139,1,,,0.75,297.5123,Account,44,80,60,60,297.5123,357.5123,357.5123,Mon,Wed
A00152,West,Michner,Assess,,44095,44160,1,,,0.5,64.171,P.O.,65,80,40,40,64.171,104.171,104.171,Mon,Wed
A00153,South,Lopez,Deliver,,44096,44105,1,,,0.25,20.475,Account,9,80,20,20,20.475,40.475,40.475,Tue,Thu
A00154,West,Khan,Repair,,44097,44111,1,,,1,200,C.O.D.,14,80,80,80,200,280,280,Wed,Wed
A00155,Southeast,Burton,Repair,,44097,44119,1,,,1.5,123.9555,C.O.D.,22,80,120,120,123.9555,243.9555,243.9555,Wed,Thu
A00156,Central,Cartier,Replace,,44097,44128,1,,,0.5,193.8831,Account,31,80,40,40,193.8831,233.8831,233.8831,Wed,Sat
A00157,Southeast,Khan,Assess,,44097,44132,2,,,0.5,1.173,C.O.D.,35,140,70,70,1.173,71.173,71.173,Wed,Wed
A00158,Central,Michner,Assess,,44098,44109,2,,,0.75,664.7888,Account,11,140,105,105,664.7888,769.7888,769.7888,Thu,Mon
A00159,Northwest,Khan,Deliver,,44098,44119,1,,,0.25,160,Account,21,80,20,20,160,180,180,Thu,Thu
A00160,Northwest,Burton,Replace,,44098,44140,2,,,0.75,159.5049,Account,42,140,105,105,159.5049,264.5049,264.5049,Thu,Thu
A00161,North,Cartier,Assess,,44098,44152,2,,,0.75,169.635,P.O.,54,140,105,105,169.635,274.635,274.635,Thu,Tue
A00162,Southwest,Burton,Replace,,44102,44104,2,,,0.5,202.86,Account,2,140,70,70,202.86,272.86,272.86,Mon,Wed
A00163,South,Lopez,Assess,,44102,44111,1,,,0.5,10.53,P.O.,9,80,40,40,10.53,50.53,50.53,Mon,Wed
A00164,Central,Michner,Replace,,44102,44131,2,,,0.75,1.824,C.O.D.,29,140,105,105,1.824,106.824,106.824,Mon,Tue
A00165,South,Khan,Assess,,44103,44112,2,,,0.5,54.1246,Account,9,140,70,70,54.1246,124.1246,124.1246,Tue,Thu
A00166,Northwest,Michner,Deliver,,44103,44125,2,,,0.25,367.7111,Account,22,140,35,35,367.7111,402.7111,402.7111,Tue,Wed
A00167,West,Lopez,Assess,,44103,44123,1,,,1.5,139.035,Account,20,80,120,120,139.035,259.035,259.035,Tue,Mon
A00168,West,Khan,Replace,,44103,44131,1,,,0.5,50.317,P.O.,28,80,40,40,50.317,90.317,90.317,Tue,Tue
A00169,Central,Burton,Repair,,44103,44159,1,,,1,122.4273,C.O.D.,56,80,80,80,122.4273,202.4273,202.4273,Tue,Tue
A00170,West,Khan,Assess,,44103,44167,1,,,1,78.5535,P.O.,64,80,80,80,78.5535,158.5535,158.5535,Tue,Wed
A00171,Northwest,Khan,Deliver,Yes,44104,44111,1,,,0.25,239.1001,Account,7,80,20,20,239.1001,259.1001,259.1001,Wed,Wed
A00172,Central,Cartier,Replace,,44104,44123,1,,,0.5,61.1806,C.O.D.,19,80,40,40,61.1806,101.1806,101.1806,Wed,Mon
A00173,Northwest,Cartier,Repair,,44104,44153,2,,,2.25,800.7112,Account,49,140,315,315,800.7112,1115.7112,1115.7112,Wed,Wed
A00174,Northwest,Khan,Assess,,44105,44130,1,,,0.25,19.197,Account,25,80,20,20,19.197,39.197,39.197,Thu,Mon
A00175,South,Lopez,Assess,,44109,44117,1,,,0.25,19.5,Account,8,80,20,20,19.5,39.5,39.5,Mon,Tue
A00176,South,Lopez,Deliver,,44109,44117,1,,,0.25,22.425,Account,8,80,20,20,22.425,42.425,42.425,Mon,Tue
A00177,West,Burton,Assess,,44109,44117,1,,,0.5,26.5826,Account,8,80,40,40,26.5826,66.5826,66.5826,Mon,Tue
A00178,Central,Cartier,Assess,,44109,44128,1,,,0.5,288.208,C.O.D.,19,80,40,40,288.208,328.208,328.208,Mon,Sat
A00179,South,Lopez,Replace,,44109,44123,1,,,0.5,54.2368,Account,14,80,40,40,54.2368,94.2368,94.2368,Mon,Mon
A00180,West,Lopez,Assess,,44110,44123,1,,,0.25,332.397,P.O.,13,80,20,20,332.397,352.397,352.397,Tue,Mon
A00181,Northwest,Khan,Assess,,44110,44127,2,,,0.75,124.1649,C.O.D.,17,140,105,105,124.1649,229.1649,229.1649,Tue,Fri
A00182,Central,Burton,Deliver,,44110,44130,1,,,0.25,21.63,Account,20,80,20,20,21.63,41.63,41.63,Tue,Mon
A00183,Northwest,Khan,Assess,,44111,44123,2,,Yes,0.25,33,C.O.D.,12,140,35,35,0,68,35,Wed,Mon
A00184,Northwest,Khan,Assess,,44111,44123,2,,,0.5,154.5,C.O.D.,12,140,70,70,154.5,224.5,224.5,Wed,Mon
A00185,South,Lopez,Repair,,44111,44124,1,,,1,48.75,Account,13,80,80,80,48.75,128.75,128.75,Wed,Tue
A00186,South,Lopez,Deliver,,44112,44124,1,,,0.25,76.1678,Account,12,80,20,20,76.1678,96.1678,96.1678,Thu,Tue
A00187,Northwest,Khan,Replace,,44112,44142,1,,,0.75,117,C.O.D.,30,80,60,60,117,177,177,Thu,Sat
A00188,Northwest,Cartier,Repair,,44112,44145,2,,,1.5,1575.974,C.O.D.,33,140,210,210,1575.974,1785.974,1785.974,Thu,Tue
A00189,West,Khan,Replace,,44112,44153,1,,,0.5,21.33,P.O.,41,80,40,40,21.33,61.33,61.33,Thu,Wed
A00190,Southeast,Michner,Replace,,44112,44165,1,,,0.5,74.7859,Account,53,80,40,40,74.7859,114.7859,114.7859,Thu,Mon
A00191,Northeast,Michner,Repair,,44112,44166,2,,,4.75,1123.9716,C.O.D.,54,140,665,665,1123.9716,1788.9716,1788.9716,Thu,Tue
A00192,Central,Burton,Assess,,44116,44130,2,,,1,128.9796,Account,14,140,140,140,128.9796,268.9796,268.9796,Mon,Mon
A00193,West,Khan,Replace,,44116,44139,1,,,0.5,144,P.O.,23,80,40,40,144,184,184,Mon,Wed
A00194,Central,Michner,Assess,,44116,44140,2,,,1,1211.8269,Account,24,140,140,140,1211.8269,1351.8269,1351.8269,Mon,Thu
A00195,South,Michner,Replace,,44116,44153,1,,,0.5,54.1246,Account,37,80,40,40,54.1246,94.1246,94.1246,Mon,Wed
A00196,Northwest,Michner,Assess,Yes,44116,44154,1,,,0.5,55.9357,C.O.D.,38,80,40,40,55.9357,95.9357,95.9357,Mon,Thu
A00197,Southeast,Michner,Assess,Yes,44117,44131,1,,,0.5,11.06,P.O.,14,80,40,40,11.06,51.06,51.06,Tue,Tue
A00198,West,Khan,Repair,,44117,44131,1,,,2,77.1651,Account,14,80,160,160,77.1651,237.1651,237.1651,Tue,Tue
A00199,Northwest,Khan,Assess,,44118,44123,2,,,0.5,66.158,Account,5,140,70,70,66.158,136.158,136.158,Wed,Mon
A00200,Southwest,Michner,Deliver,,44118,44131,1,,,0.25,27.9539,Account,13,80,20,20,27.9539,47.9539,47.9539,Wed,Tue
A00201,West,Khan,Assess,,44118,44131,1,,,1,216.3125,C.O.D.,13,80,80,80,216.3125,296.3125,296.3125,Wed,Tue
A00202,Central,Burton,Repair,,44118,44138,2,,,2,619.5133,P.O.,20,140,280,280,619.5133,899.5133,899.5133,Wed,Tue
A00203,West,Michner,Replace,,44118,44145,1,,,0.5,3.12,C.O.D.,27,80,40,40,3.12,43.12,43.12,Wed,Tue
A00204,Central,Michner,Assess,,44119,44126,1,,,0.75,163.26,Account,7,80,60,60,163.26,223.26,223.26,Thu,Thu
A00205,South,Lopez,Deliver,,44119,44132,1,,,0.25,65.2516,Account,13,80,20,20,65.2516,85.2516,85.2516,Thu,Wed
A00206,West,Michner,Deliver,,44119,44145,1,,,0.25,30,P.O.,26,80,20,20,30,50,50,Thu,Tue
A00207,West,Michner,Replace,,44119,44145,1,,,0.5,105.8442,Account,26,80,40,40,105.8442,145.8442,145.8442,Thu,Tue
A00208,Northwest,Burton,Replace,,44123,44140,2,,,1,547.0859,C.O.D.,17,140,140,140,547.0859,687.0859,687.0859,Mon,Thu
A00209,West,Michner,Replace,,44123,44160,1,,,1,120,P.O.,37,80,80,80,120,200,200,Mon,Wed
A00210,Northwest,Khan,Assess,,44124,44134,1,,,0.25,30,Account,10,80,20,20,30,50,50,Tue,Fri
A00211,Central,Cartier,Deliver,,44124,44159,1,,,0.25,27.63,Account,35,80,20,20,27.63,47.63,47.63,Tue,Tue
A00212,Central,Burton,Assess,,44125,44141,1,,,0.25,250.4224,Account,16,80,20,20,250.4224,270.4224,270.4224,Wed,Fri
A00213,Northwest,Michner,Assess,Yes,44125,44140,2,,,0.25,38.6984,C.O.D.,15,140,35,35,38.6984,73.6984,73.6984,Wed,Thu
A00214,Northwest,Cartier,Assess,Yes,44125,44145,2,,,0.25,33,Account,20,140,35,35,33,68,68,Wed,Tue
A00215,West,Michner,Assess,,44125,44145,1,,,0.75,126,P.O.,20,80,60,60,126,186,186,Wed,Tue
A00216,Central,Michner,Install,,44125,44221,2,,,8.25,4946,Account,96,140,1155,1155,4946,6101,6101,Wed,Mon
A00217,Southeast,Michner,Replace,Yes,44126,44133,1,,,0.5,33.5447,P.O.,7,80,40,40,33.5447,73.5447,73.5447,Thu,Thu
A00218,Central,Burton,Assess,,44128,44141,2,,,0.25,25,Account,13,140,35,35,25,60,60,Sat,Fri
A00219,West,Khan,Assess,,44128,44159,1,,,0.5,28.5868,Account,31,80,40,40,28.5868,68.5868,68.5868,Sat,Tue
A00220,West,Burton,Replace,,44128,44179,2,,,2.5,213.4805,Account,51,140,350,350,213.4805,563.4805,563.4805,Sat,Mon
A00221,West,Khan,Assess,,44130,44131,1,,,0.5,83.4413,Account,1,80,40,40,83.4413,123.4413,123.4413,Mon,Tue
A00222,Southeast,Khan,Repair,,44130,44152,2,,,1,25,C.O.D.,22,140,140,140,25,165,165,Mon,Tue
A00223,South,Lopez,Assess,,44131,44152,1,,,0.25,67.9615,Account,21,80,20,20,67.9615,87.9615,87.9615,Tue,Tue
A00224,West,Khan,Replace,,44131,44181,1,,,0.5,172.02,P.O.,50,80,40,40,172.02,212.02,212.02,Tue,Wed
A00225,South,Lopez,Assess,,44131,44212,1,,,0.5,102.2232,P.O.,81,80,40,40,102.2232,142.2232,142.2232,Tue,Sat
A00226,South,Lopez,Replace,,44132,44165,1,,,0.5,373.5528,Account,33,80,40,40,373.5528,413.5528,413.5528,Wed,Mon
A00227,South,Lopez,Install,,44132,44166,3,,,2.75,1249.0878,Account,34,195,536.25,536.25,1249.0878,1785.3378,1785.3378,Wed,Tue
A00228,Northwest,Khan,Deliver,,44133,44141,1,,,0.25,240,Account,8,80,20,20,240,260,260,Thu,Fri
A00229,Northwest,Cartier,Deliver,,44133,44153,1,,,0.25,27,C.O.D.,20,80,20,20,27,47,47,Thu,Wed
A00230,West,Khan,Replace,,44137,44139,2,,,1,228.6335,C.O.D.,2,140,140,140,228.6335,368.6335,368.6335,Mon,Wed
A00231,West,Michner,Assess,,44137,44160,1,,,0.5,26.5826,Account,23,80,40,40,26.5826,66.5826,66.5826,Mon,Wed
A00232,North,Michner,Replace,,44137,44172,2,,,0.75,5.71,Account,35,140,105,105,5.71,110.71,110.71,Mon,Mon
A00233,Central,Michner,Replace,,44137,44207,2,,,0.5,263.0523,C.O.D.,70,140,70,70,263.0523,333.0523,333.0523,Mon,Mon
A00234,Southeast,Cartier,Replace,,44137,44301,2,,,1.75,8.25,Account,164,140,245,245,8.25,253.25,253.25,Mon,Thu
A00235,Southeast,Khan,Replace,,44138,44165,1,,,0.5,15.63,Account,27,80,40,40,15.63,55.63,55.63,Tue,Mon
A00236,Central,Michner,Replace,,44138,44167,1,,,0.5,15.63,Account,29,80,40,40,15.63,55.63,55.63,Tue,Wed
A00237,Southeast,Burton,Assess,,44138,44173,1,,,0.75,28.5,C.O.D.,35,80,60,60,28.5,88.5,88.5,Tue,Tue
A00238,West,Khan,Replace,,44139,44144,1,,,0.5,748.44,Account,5,80,40,40,748.44,788.44,788.44,Wed,Mon
A00239,West,Michner,Install,,44139,44152,1,,,1,86.3563,P.O.,13,80,80,80,86.3563,166.3563,166.3563,Wed,Tue
A00240,North,Cartier,Deliver,,44139,44152,1,,,0.25,107.9955,P.O.,13,80,20,20,107.9955,127.9955,127.9955,Wed,Tue
A00241,Central,Cartier,Replace,,44139,44159,2,,,0.5,279.31,Account,20,140,70,70,279.31,349.31,349.31,Wed,Tue
A00242,West,Khan,Assess,,44139,44167,1,,,0.5,25.26,Account,28,80,40,40,25.26,65.26,65.26,Wed,Wed
A00243,Central,Cartier,Replace,,44140,44153,1,,,1,351.0207,C.O.D.,13,80,80,80,351.0207,431.0207,431.0207,Thu,Wed
A00244,West,Michner,Replace,,44140,44160,1,,,0.5,27.9539,Account,20,80,40,40,27.9539,67.9539,67.9539,Thu,Wed
A00245,Northwest,Burton,Assess,,44142,44174,2,,,0.75,62.13,Account,32,140,105,105,62.13,167.13,167.13,Sat,Wed
A00246,South,Lopez,Install,,44144,44161,1,,,7,3396.25,P.O.,17,80,560,560,3396.25,3956.25,3956.25,Mon,Thu
A00247,East,Ling,Replace,,44144,44258,2,,,0.5,22,Account,114,140,70,70,22,92,92,Mon,Wed
A00248,West,Khan,Replace,,44145,44174,1,,,0.5,163.3661,P.O.,29,80,40,40,163.3661,203.3661,203.3661,Tue,Wed
A00249,South,Lopez,Assess,,44146,44160,1,,,0.25,25.4079,Account,14,80,20,20,25.4079,45.4079,45.4079,Wed,Wed
A00250,Southeast,Cartier,Replace,,44146,44168,2,,,0.75,182.7,C.O.D.,22,140,105,105,182.7,287.7,287.7,Wed,Thu
A00251,Southeast,Khan,Replace,,44146,44165,1,,,0.5,73.5089,C.O.D.,19,80,40,40,73.5089,113.5089,113.5089,Wed,Mon
A00252,Central,Cartier,Replace,Yes,44146,44166,2,,,0.5,115.2249,Account,20,140,70,70,115.2249,185.2249,185.2249,Wed,Tue
A00253,Northwest,Cartier,Replace,,44147,44154,2,,,0.75,340.4523,C.O.D.,7,140,105,105,340.4523,445.4523,445.4523,Thu,Thu
A00254,West,Khan,Assess,,44147,44161,1,,,0.5,12,Account,14,80,40,40,12,52,52,Thu,Thu
A00255,Southeast,Khan,Replace,,44148,44159,1,,,0.5,36.7544,Account,11,80,40,40,36.7544,76.7544,76.7544,Fri,Tue
A00256,South,Lopez,Install,,44149,44170,1,,,1.75,183.95,P.O.,21,80,140,140,183.95,323.95,323.95,Sat,Sat
A00257,West,Khan,Assess,Yes,44149,44167,1,,,0.25,26.5826,P.O.,18,80,20,20,26.5826,46.5826,46.5826,Sat,Wed
A00258,West,Khan,Assess,,44151,44167,1,,,0.5,13.42,C.O.D.,16,80,40,40,13.42,53.42,53.42,Mon,Wed
A00259,West,Khan,Install,,44151,44168,1,,,1,324,P.O.,17,80,80,80,324,404,404,Mon,Thu
A00260,Southeast,Khan,Replace,,44152,44174,2,,,0.5,504.2127,C.O.D.,22,140,70,70,504.2127,574.2127,574.2127,Tue,Wed
A00261,Central,Khan,Assess,Yes,44152,44180,2,,,0.5,338.0702,Account,28,140,70,70,338.0702,408.0702,408.0702,Tue,Tue
A00262,Southeast,Burton,Assess,,44153,44165,2,,,1.5,0.984,C.O.D.,12,140,210,210,0.984,210.984,210.984,Wed,Mon
A00263,Southeast,Khan,Assess,,44153,44165,1,,,0.5,14.88,Account,12,80,40,40,14.88,54.88,54.88,Wed,Mon
A00264,South,Lopez,Assess,,44154,44165,1,,,0.5,81.9,Account,11,80,40,40,81.9,121.9,121.9,Thu,Mon
A00265,Northwest,Burton,Assess,,44154,44168,2,,,0.25,21.33,Account,14,140,35,35,21.33,56.33,56.33,Thu,Thu
A00266,Central,Khan,Assess,,44154,44168,1,,,0.25,120,P.O.,14,80,20,20,120,140,140,Thu,Thu
A00267,Northwest,Michner,Replace,,44154,44182,2,,,0.5,1579.4,Account,28,140,70,70,1579.4,1649.4,1649.4,Thu,Thu
A00268,South,Khan,Replace,,44156,44165,2,,,0.5,174.1803,C.O.D.,9,140,70,70,174.1803,244.1803,244.1803,Sat,Mon
A00269,Central,Burton,Replace,,44158,44172,1,,,0.75,20,Account,14,80,60,60,20,80,80,Mon,Mon
A00270,Northwest,Khan,Install,,44158,44201,1,,,2.5,689.1541,P.O.,43,80,200,200,689.1541,889.1541,889.1541,Mon,Tue
A00271,Southeast,Michner,Assess,,44158,44203,1,,,0.25,156,Account,45,80,20,20,156,176,176,Mon,Thu
A00272,South,Lopez,Assess,,44158,44212,1,,,0.25,45.7341,Account,54,80,20,20,45.7341,65.7341,65.7341,Mon,Sat
A00273,East,Ling,Replace,,44158,44236,2,,,0.5,204.284,Account,78,140,70,70,204.284,274.284,274.284,Mon,Tue
A00274,Northwest,Khan,Deliver,Yes,44159,44161,1,,,0.25,21.33,Account,2,80,20,20,21.33,41.33,41.33,Tue,Thu
A00275,Southeast,Khan,Replace,,44159,44168,1,,,0.5,34.08,P.O.,9,80,40,40,34.08,74.08,74.08,Tue,Thu
A00276,Northwest,Michner,Replace,,44159,44168,2,,,0.75,212.0085,Account,9,140,105,105,212.0085,317.0085,317.0085,Tue,Thu
A00277,Northwest,Khan,Repair,,44159,44172,1,,,1,341.2672,C.O.D.,13,80,80,80,341.2672,421.2672,421.2672,Tue,Mon
A00278,Central,Cartier,Replace,,44159,44245,1,,,0.5,25.7736,Account,86,80,40,40,25.7736,65.7736,65.7736,Tue,Thu
A00279,Southeast,Khan,Assess,Yes,44160,44172,1,,,0.5,133.3661,Account,12,80,40,40,133.3661,173.3661,173.3661,Wed,Mon
A00280,West,Khan,Assess,,44160,44200,1,,,0.5,66.8649,Account,40,80,40,40,66.8649,106.8649,106.8649,Wed,Mon
A00281,West,Khan,Assess,,44160,44200,1,,,0.75,94.26,P.O.,40,80,60,60,94.26,154.26,154.26,Wed,Mon
A00282,West,Khan,Assess,,44160,44200,1,,,0.25,120,C.O.D.,40,80,20,20,120,140,140,Wed,Mon
A00283,West,Khan,Deliver,,44161,44167,1,,,0.25,120,Account,6,80,20,20,120,140,140,Thu,Wed
A00284,Northwest,Burton,Deliver,Yes,44161,44168,1,,,0.25,45.99,P.O.,7,80,20,20,45.99,65.99,65.99,Thu,Thu
A00285,Southeast,Burton,Assess,,44161,44175,1,,,0.5,33,C.O.D.,14,80,40,40,33,73,73,Thu,Thu
A00286,Northwest,Michner,Assess,,44161,44207,1,,,0.25,21.33,C.O.D.,46,80,20,20,21.33,41.33,41.33,Thu,Mon
A00287,Northwest,Cartier,Deliver,Yes,44161,44244,1,,,0.25,37.26,Account,83,80,20,20,37.26,57.26,57.26,Thu,Wed
A00288,Southeast,Khan,Replace,,44162,44187,1,,,1,81.885,C.O.D.,25,80,80,80,81.885,161.885,161.885,Fri,Tue
A00289,Central,Khan,Deliver,Yes,44165,44173,1,,,0.25,10.1032,C.O.D.,8,80,20,20,10.1032,30.1032,30.1032,Mon,Tue
A00290,Southeast,Khan,Deliver,,44165,44173,1,,,0.25,17.88,Account,8,80,20,20,17.88,37.88,37.88,Mon,Tue
A00291,Northeast,Michner,Repair,,44165,44173,2,,,2.75,1204.6415,C.O.D.,8,140,385,385,1204.6415,1589.6415,1589.6415,Mon,Tue
A00292,Northeast,Burton,Repair,,44165,44182,2,,,3,111,C.O.D.,17,140,420,420,111,531,531,Mon,Thu
A00293,West,Khan,Assess,,44165,44200,1,,,0.25,21.21,P.O.,35,80,20,20,21.21,41.21,41.21,Mon,Mon
A00294,Northeast,Ling,Assess,,44165,44252,2,,,0.5,158.3139,C.O.D.,87,140,70,70,158.3139,228.3139,228.3139,Mon,Thu
A00295,Southeast,Burton,Assess,,44166,44207,1,,,0.5,36.7544,C.O.D.,41,80,40,40,36.7544,76.7544,76.7544,Tue,Mon
A00296,North,Ling,Replace,,44166,44320,2,,,0.5,242.07,C.O.D.,154,140,70,70,242.07,312.07,312.07,Tue,Tue
A00297,Northwest,Khan,Assess,,44167,44182,1,,,0.5,30,C.O.D.,15,80,40,40,30,70,70,Wed,Thu
A00298,Northwest,Khan,Assess,Yes,44167,44180,1,,,0.5,52.8994,C.O.D.,13,80,40,40,52.8994,92.8994,92.8994,Wed,Tue
A00299,Northwest,Cartier,Deliver,Yes,44167,44182,1,,,0.25,36.7544,Account,15,80,20,20,36.7544,56.7544,56.7544,Wed,Thu
A00300,Southeast,Michner,Deliver,,44167,44203,1,,,0.25,45.2374,C.O.D.,36,80,20,20,45.2374,65.2374,65.2374,Wed,Thu
A00301,Northwest,Cartier,Replace,Yes,44167,44223,1,,,0.75,42.66,Account,56,80,60,60,42.66,102.66,102.66,Wed,Wed
A00302,North,Ling,Replace,,44167,44242,2,,,1,226,Account,75,140,140,140,226,366,366,Wed,Mon
