"dateid01","m","p"
1/1/1994,0.0155287,0.0211002
4/1/1994,0.0132424,0.0198059
7/1/1994,0.0183706,0.0218783
10/1/1994,0.0194404,0.0212753
1/1/1995,0.0324141,0.0215572
4/1/1995,0.0489132,0.0209475
7/1/1995,0.0601504,0.0192548
10/1/1995,0.0596565,0.0193848
1/1/1996,0.0717672,0.0194503
4/1/1996,0.0637525,0.0194058
7/1/1996,0.060069,0.0178475
10/1/1996,0.0722787,0.0183356
1/1/1997,0.0719325,0.0183188
4/1/1997,0.0721596,0.0163867
7/1/1997,0.0864294,0.0167173
10/1/1997,0.0917459,0.0146765
1/1/1998,0.1002991,0.0108424
4/1/1998,0.1002807,0.0108925
7/1/1998,0.0972569,0.0110882
10/1/1998,0.1035207,0.0112836
1/1/1999,0.0904049,0.012814
4/1/1999,0.0851875,0.0146927
7/1/1999,0.071054,0.0145378
10/1/1999,0.080327,0.01535
1/1/2000,0.0899787,0.0202311
4/1/2000,0.0899507,0.0209856
7/1/2000,0.1020681,0.0226475
10/1/2000,0.0838053,0.0224401
1/1/2001,0.0953223,0.0215154
4/1/2001,0.1146383,0.0248146
7/1/2001,0.114624,0.0238021
10/1/2001,0.1221444,0.0247735
1/1/2002,0.0956589,0.0203962
4/1/2002,0.0699804,0.0163544
7/1/2002,0.0600628,0.0159713
10/1/2002,0.0630701,0.0164831
1/1/2003,0.0616963,0.0206035
4/1/2003,0.0715853,0.0202389
7/1/2003,0.0683594,0.0216471
10/1/2003,0.03352,0.0215289
1/1/2004,0.046496,0.0229831
4/1/2004,0.0541361,0.0288092
7/1/2004,0.0507758,0.0288273
10/1/2004,0.0602464,0.0313355
1/1/2005,0.050993,0.0305593
4/1/2005,0.0476433,0.0276193
7/1/2005,0.062794,0.0304535
10/1/2005,0.0731086,0.0305588
