"dateid01","gold","silver"
8/1/1975,5.0867,6.1383
9/1/1975,4.8579,6.1016
10/1/1975,4.9607,6.0379
11/1/1975,4.9516,6.058
12/1/1975,4.947,6.0316
1/1/1976,4.8383,5.9948
2/1/1976,4.8862,6.0205
3/1/1976,4.8575,6.0181
4/1/1976,4.8575,6.0915
5/1/1976,4.8243,6.1341
6/1/1976,4.8179,6.1826
7/1/1976,4.7375,6.1198
8/1/1976,4.648,6.0189
9/1/1976,4.7557,6.0673
10/1/1976,4.8203,6.0445
11/1/1976,4.8714,6.0618
12/1/1976,4.9025,6.0973
1/1/1977,4.8857,6.1321
2/1/1977,4.9638,6.1606
3/1/1977,5.0031,6.2108
4/1/1977,4.993,6.1551
5/1/1977,4.9642,6.1247
6/1/1977,4.9638,6.1116
7/1/1977,4.9724,6.1136
8/1/1977,4.9845,6.0978
9/1/1977,5.0394,6.1408
10/1/1977,5.0853,6.1898
11/1/1977,5.076,6.1625
12/1/1977,5.1067,6.171
1/1/1978,5.1698,6.2124
2/1/1978,5.2075,6.2112
3/1/1978,5.2129,6.2866
4/1/1978,5.1395,6.2146
5/1/1978,5.217,6.3089
6/1/1978,5.2116,6.2685
7/1/1978,5.3015,6.3371
8/1/1978,5.3382,6.3166
9/1/1978,5.3816,6.3425
10/1/1978,5.4853,6.4299
11/1/1978,5.2647,6.3787
12/1/1978,5.4222,6.404
1/1/1979,5.4548,6.5064
2/1/1979,5.528,6.645
3/1/1979,5.4749,6.6134
4/1/1979,5.5069,6.6453
5/1/1979,5.6191,6.7775
6/1/1979,5.6344,6.7548
7/1/1979,5.7,6.7964
8/1/1979,5.7569,6.9395
9/1/1979,5.9865,7.3954
10/1/1979,5.9467,7.4141
11/1/1979,6.0301,7.5517
12/1/1979,6.2663,8.0746
1/1/1980,6.477,8.1672
2/1/1980,6.4622,8.1728
3/1/1980,6.2226,7.2055
4/1/1980,6.2432,7.2277
5/1/1980,6.2832,7.2283
6/1/1980,6.4793,7.4216
7/1/1980,6.4252,7.363
8/1/1980,6.4497,7.3828
9/1/1980,6.508,7.625
10/1/1980,6.4449,7.542
11/1/1980,6.4337,7.5185
12/1/1980,6.3793,7.3491
1/1/1981,6.2275,7.175
2/1/1981,6.1954,7.1374
3/1/1981,6.2295,7.1166
4/1/1981,6.1779,7.0081
5/1/1981,6.1727,6.9639
6/1/1981,6.058,6.7181
7/1/1981,6.0064,6.7388
8/1/1981,6.0568,6.8256
9/1/1981,6.0649,6.7983
10/1/1981,6.0591,6.8229
11/1/1981,6.0137,6.7097
12/1/1981,5.9915,6.7031
1/1/1982,5.9584,6.7181
2/1/1982,5.8944,6.6672
3/1/1982,5.7683,6.5586
4/1/1982,5.8916,6.5621
5/1/1982,5.7807,6.4538
6/1/1982,5.7621,6.355
7/1/1982,5.8363,6.4963
8/1/1982,6.0247,6.6934
9/1/1982,5.9802,6.7091
10/1/1982,6.0474,6.8965
11/1/1982,6.0822,6.8662
12/1/1982,6.1048,6.9926
1/1/1983,6.2146,7.2234
2/1/1983,6.0234,7.0595
3/1/1983,6.0355,6.9569
4/1/1983,6.0615,7.0864
5/1/1983,6.0788,7.208
6/1/1983,6.0307,7.0553
7/1/1983,6.0441,7.1012
8/1/1983,6.0274,7.0902
9/1/1983,6.0085,7.025
10/1/1983,5.9477,6.7727
11/1/1983,6.0002,6.8895
12/1/1983,5.9454,6.7929
1/1/1984,5.9219,6.7355
2/1/1984,5.9789,6.8721
3/1/1984,5.9616,6.8738
4/1/1984,5.9283,6.7998
5/1/1984,5.9526,6.8156
6/1/1984,5.9229,6.7354
7/1/1984,5.8323,6.5682
8/1/1984,5.8522,6.6115
9/1/1984,5.8399,6.6222
10/1/1984,5.8104,6.5806
11/1/1984,5.7968,6.5558
12/1/1984,5.7333,6.4437
1/1/1985,5.726,6.463
2/1/1985,5.6656,6.3346
3/1/1985,5.7991,6.4972
4/1/1985,5.7714,6.4367
5/1/1985,5.7557,6.4278
6/1/1985,5.7613,6.4174
7/1/1985,5.7846,6.4361
8/1/1985,5.8096,6.4368
9/1/1985,5.7846,6.4055
10/1/1985,5.7823,6.4115
11/1/1985,5.7838,6.4127
12/1/1985,5.7907,6.3627
1/1/1986,5.8569,6.4043
2/1/1986,5.8201,6.3227
3/1/1986,5.8399,6.3222
4/1/1986,5.8457,6.2319
5/1/1986,5.8392,6.2305
6/1/1986,5.8508,6.235
7/1/1986,5.883,6.2338
8/1/1986,5.9539,6.2391
9/1/1986,6.0489,6.3097
10/1/1986,5.993,6.3306
11/1/1986,5.9642,6.283
12/1/1986,5.9687,6.2737
1/1/1987,6.0024,6.308
2/1/1987,6.0051,6.3053
3/1/1987,6.0391,6.4474
4/1/1987,6.1153,6.6968
5/1/1987,6.1131,6.647
6/1/1987,6.102,6.5731
7/1/1987,6.135,6.7228
8/1/1987,6.1175,6.6324
9/1/1987,6.1296,6.6388
10/1/1987,6.1479,6.5338
11/1/1987,6.1998,6.5867
12/1/1987,6.1872,6.5117
1/1/1988,6.123,6.5084
2/1/1988,6.0521,6.4195
3/1/1988,6.123,6.5149
4/1/1988,6.107,6.4711
5/1/1988,6.1197,6.4922
6/1/1988,6.0771,6.4998
7/1/1988,6.0771,6.5084
8/1/1988,6.0626,6.4706
9/1/1988,5.9783,6.4357
10/1/1988,6.0198,6.4469
11/1/1988,6.048,6.4084
12/1/1988,6.0168,6.4172
1/1/1989,5.977,6.3712
2/1/1989,5.9584,6.373
3/1/1989,5.95,6.3658
4/1/1989,5.9356,6.3349
5/1/1989,5.8951,6.2577
6/1/1989,5.9169,6.2488
7/1/1989,5.9088,6.2433
8/1/1989,5.8861,6.2283
9/1/1989,5.902,6.2691
10/1/1989,5.9276,6.2601
11/1/1989,6.0162,6.3218
12/1/1989,5.994,6.257
1/1/1990,6.0228,6.2548
2/1/1990,6.01,6.2383
3/1/1990,5.9122,6.2066
4/1/1990,5.9074,6.2017
5/1/1990,5.8965,6.2285
6/1/1990,5.8658,6.1821
7/1/1990,5.9189,6.1852
8/1/1990,5.9539,6.18
9/1/1990,6.0033,6.1727
10/1/1990,5.9382,6.0456
11/1/1990,5.9526,6.0129
12/1/1990,5.97,6.0385
1/1/1991,5.9047,5.947
2/1/1991,5.8992,5.9077
3/1/1991,5.8745,5.9496
4/1/1991,5.8786,5.9747
5/1/1991,5.8882,6.0241
6/1/1991,5.9119,6.0989
7/1/1991,5.8944,6.0082
8/1/1991,5.8523,5.9441
9/1/1991,5.8708,6.0247
10/1/1991,5.88,6.0137
11/1/1991,5.9036,6.0076
12/1/1991,5.8673,5.9558
1/1/1992,5.8732,6.0237
2/1/1992,5.867,6.0207
3/1/1992,5.8364,6.021
4/1/1992,5.8186,5.9868
5/1/1992,5.8199,6.0057
6/1/1992,5.8393,5.9979
7/1/1992,5.8804,5.9795
8/1/1992,5.8289,5.9175
9/1/1992,5.8546,5.9312
10/1/1992,5.8279,5.9307
11/1/1992,5.8125,5.9222
12/1/1992,5.8083,5.9052
1/1/1993,5.8002,5.9155
2/1/1993,5.7923,5.8768
3/1/1993,5.8226,5.9636
4/1/1993,5.8742,6.0634
5/1/1993,5.9395,6.1556
6/1/1993,5.9356,6.1258
7/1/1993,6.0057,6.2729
8/1/1993,5.9171,6.1826
9/1/1993,5.8728,5.9989
10/1/1993,5.9103,6.0873
11/1/1993,5.9135,6.1019
12/1/1993,5.9681,6.2373
1/1/1994,5.9356,6.2265
2/1/1994,5.9449,6.2621
3/1/1994,5.9655,6.3518
4/1/1994,5.9299,6.2691
5/1/1994,5.9605,6.309
6/1/1994,5.961,6.2636
7/1/1994,5.9504,6.2715
8/1/1994,5.9565,6.2837
9/1/1994,5.9758,6.3315
10/1/1994,5.9519,6.2813
11/1/1994,5.948,6.2295
12/1/1994,5.9474,6.1841
1/1/1995,5.9261,6.1522
2/1/1995,5.9309,6.107
3/1/1995,5.9706,6.2461
4/1/1995,5.9626,6.3679
5/1/1995,5.951,6.2719
6/1/1995,5.9551,6.2781
7/1/1995,5.9483,6.234
8/1/1995,5.9462,6.2771
9/1/1995,5.95,6.3149
10/1/1995,5.9474,6.2841
11/1/1995,5.9606,6.25
12/1/1995,5.9586,6.2426
1/1/1996,6.0057,6.3135
2/1/1996,5.9948,6.314
3/1/1996,5.9828,6.3131
4/1/1996,5.9706,6.2686
5/1/1996,5.9686,6.2795
6/1/1996,5.9461,6.2198
7/1/1996,5.9542,6.2369
8/1/1996,5.9574,6.2529
9/1/1996,5.9365,6.1905
10/1/1996,5.9395,6.179
11/1/1996,5.9174,6.1617
12/1/1996,5.9126,6.1733
1/1/1997,5.8411,6.2061
2/1/1997,5.8823,6.2639
3/1/1997,5.8521,6.2403
4/1/1997,5.8292,6.1447
5/1/1997,5.8437,6.1856
6/1/1997,5.8128,6.1633
7/1/1997,5.788,6.0828
8/1/1997,5.7831,6.158
9/1/1997,5.8083,6.2476
10/1/1997,5.7448,6.1769
11/1/1997,5.6932,6.2724
12/1/1997,5.6669,6.3961
1/1/1998,5.7139,6.4048
2/1/1998,5.6986,6.4568
3/1/1998,5.7083,6.4528
4/1/1998,5.7359,6.4321
5/1/1998,5.6834,6.2059
6/1/1998,5.6959,6.2818
7/1/1998,5.6649,6.3145
8/1/1998,5.6173,6.2096
9/1/1998,5.6868,6.2888
10/1/1998,5.68,6.2255
11/1/1998,5.678,6.1995
12/1/1998,5.6621,6.2156
1/1/1999,5.6569,6.261
2/1/1999,5.6593,6.3244
3/1/1999,5.6343,6.2373
4/1/1999,5.6579,6.2989
5/1/1999,5.5982,6.2015
6/1/1999,5.5651,6.2572
7/1/1999,5.5444,6.3003
8/1/1999,5.5419,6.23
9/1/1999,5.7071,6.2586
10/1/1999,5.7054,6.271
11/1/1999,5.6757,6.25
12/1/1999,5.6733,6.2519
1/1/2000,5.6456,6.2653
2/1/2000,5.6827,6.2334
3/1/2000,5.6256,6.2015
4/1/2000,5.6177,6.202
5/1/2000,5.6082,6.1944
6/1/2000,5.6664,6.2181
7/1/2000,5.6249,6.2046
8/1/2000,5.624,6.1964
9/1/2000,5.6108,6.1919
10/1/2000,5.5777,6.1612
11/1/2000,5.593,6.1377
12/1/2000,5.6093,6.1258
1/1/2001,5.5805,6.1717
2/1/2001,5.5842,6.0936
3/1/2001,5.5562,6.0707
4/1/2001,5.5754,6.0788
5/1/2001,5.5882,6.0924
6/1/2001,5.6029,6.0719
7/1/2001,5.5833,6.0438
8/1/2001,5.6098,6.0403
9/1/2001,5.681,6.128
10/1/2001,5.6366,6.058
11/1/2001,5.6166,6.0259
12/1/2001,5.6233,6.1137
1/1/2002,5.6417,6.058
2/1/2002,5.6931,6.0947
3/1/2002,5.7121,6.1474
4/1/2002,5.7291,6.1312
5/1/2002,5.7847,6.2246
6/1/2002,5.7613,6.1883
7/1/2002,5.7198,6.1442
8/1/2002,5.7468,6.1236
9/1/2002,5.7795,6.1164
10/1/2002,5.7587,6.1037
11/1/2002,5.765,6.0936
12/1/2002,5.8385,6.1453
1/1/2003,5.9081,6.1888
2/1/2003,5.8572,6.142
3/1/2003,5.8171,6.1003
4/1/2003,5.8238,6.1323
5/1/2003,5.8965,6.1225
6/1/2003,5.8513,6.1104
7/1/2003,5.8713,6.2305
8/1/2003,5.9309,6.2354
9/1/2003,5.9539,6.2373
10/1/2003,5.9591,6.2413
11/1/2003,5.9865,6.2823
12/1/2003,6.0337,6.3911
1/1/2004,5.9946,6.4337
2/1/2004,5.9795,6.4892
3/1/2004,6.0527,6.6625
4/1/2004,5.9604,6.3886
5/1/2004,5.9757,6.4241
6/1/2004,5.9789,6.3818
7/1/2004,5.9665,6.4646
8/1/2004,6.0167,6.5132
9/1/2004,6.0355,6.502
10/1/2004,6.055,6.5737
11/1/2004,6.107,6.6535
12/1/2004,6.0824,6.5243
1/1/2005,6.0436,6.5103
2/1/2005,6.08,6.5999
3/1/2005,6.0583,6.5775
4/1/2005,6.0787,6.5482
5/1/2005,6.0308,6.5695
6/1/2005,6.0837,6.5653
7/1/2005,6.0633,6.5716
8/1/2005,6.0717,6.5132
9/1/2005,6.1545,6.6241
10/1/2005,6.1435,6.6548
11/1/2005,6.205,6.7105
12/1/2005,6.2394,6.7833
1/1/2006,6.3454,6.8987
2/1/2006,6.3275,6.8768
3/1/2006,6.3691,7.0694
4/1/2006,6.4774,7.1353
5/1/2006,6.4725,7.1801
6/1/2006,6.4186,6.9754
7/1/2006,6.4499,7.0423
8/1/2006,6.4364,7.1389
9/1/2006,6.3909,7.0519
10/1/2006,6.4059,7.0967
11/1/2006,6.4733,7.2211
12/1/2006,6.4528,7.1624
1/1/2007,6.4812,7.1974
2/1/2007,6.506,7.2661
3/1/2007,6.4981,7.1967
4/1/2007,6.5232,7.2079
5/1/2007,6.4953,7.1892
6/1/2007,6.4777,7.1341
7/1/2007,6.4993,7.1647
8/1/2007,6.5112,7.0859
9/1/2007,6.6114,7.2189
10/1/2007,6.6728,7.2668
11/1/2007,6.6627,7.2605
12/1/2007,6.7288,7.2971
1/1/2008,6.8277,7.423
2/1/2008,6.8781,7.5817
3/1/2008,6.8378,7.495
4/1/2008,6.7683,7.4067
5/1/2008,6.7893,7.4295
6/1/2008,6.8272,7.4759
7/1/2008,6.8212,7.4662
8/1/2008,6.727,7.2269
9/1/2008,6.7772,7.167
10/1/2008,6.5911,6.833
11/1/2008,6.7003,6.9197
12/1/2008,6.7595,6.9838
1/1/2009,6.8266,7.1317
2/1/2009,6.8586,7.1861
3/1/2009,6.8201,7.1785
4/1/2009,6.7845,7.1412
5/1/2009,6.8667,7.3473
6/1/2009,6.8438,7.2399
7/1/2009,6.8398,7.2174
8/1/2009,6.8546,7.2821
9/1/2009,6.9098,7.4055
10/1/2009,6.9527,7.4128
11/1/2009,7.0713,7.5033
12/1/2009,6.9994,7.4378
1/1/2010,6.9827,7.3957
2/1/2010,7.0081,7.3852
3/1/2010,7.0149,7.4674
4/1/2010,7.0731,7.5294
5/1/2010,7.0926,7.5246
6/1/2010,7.1258,7.5358
7/1/2010,7.0694,7.4765
8/1/2010,7.1285,7.5427
9/1/2010,7.1712,7.6994
10/1/2010,7.2059,7.7816
11/1/2010,7.2336,7.9058
12/1/2010,7.2567,8.0272
1/1/2011,7.1946,7.9284
2/1/2011,7.2549,8.1164
3/1/2011,7.2704,8.2393
4/1/2011,7.3368,8.4908
5/1/2011,7.3383,8.2597
6/1/2011,7.3204,8.1611
7/1/2011,7.3924,8.2848
8/1/2011,7.5102,8.3272
9/1/2011,7.3888,8.0213
10/1/2011,7.4526,8.1386
11/1/2011,7.465,8.0504
12/1/2011,7.3617,7.9438
1/1/2012,7.4565,8.1197
2/1/2012,7.4586,8.2223
3/1/2012,7.4169,8.0843
4/1/2012,7.4147,8.0456
5/1/2012,7.3563,7.9409
6/1/2012,7.3761,7.904
7/1/2012,7.391,7.9445
8/1/2012,7.4232,8.0236
9/1/2012,7.4812,8.1505
10/1/2012,7.4525,8.0796
11/1/2012,7.4489,8.1397
12/1/2012,7.416,8.0047
1/1/2013,7.4169,8.0718
2/1/2013,7.367,7.9707
3/1/2013,7.3751,7.96
4/1/2013,7.2914,7.8006
5/1/2013,7.239,7.7218
6/1/2013,7.1029,7.5422
7/1/2013,7.1775,7.5979
8/1/2013,7.2425,7.7681
9/1/2013,7.1936,7.6816
10/1/2013,7.1881,7.7053
11/1/2013,7.1336,7.5974
12/1/2013,7.0966,7.5756
1/1/2014,7.125,7.5658
2/1/2014,7.1897,7.6625
