"sold","date_auctn","years_old","rhammer","inchsq","signed","creation","age","yob","drec"
0,2006.92004394531,90.9199981689453,,212.09,1,1916,40,1876,0
0,2006.92004394531,96.9199981689453,,320,1,1910,34,1876,0
1,2006.82995605469,100.830001831055,1.47969,155,1,1906,30,1876,0
1,2006.75,93.75,1.08481,492,1,1913,37,1876,0
1,2006.67004394531,64.6699981689453,0.9515,126,1,1942,66,1876,0
1,2006.5,64.5,0.49348,114.84,1,1942,66,1876,0
1,2006.42004394531,100.419998168945,4.96771,33.84,1,1906,30,1876,0
0,2006.42004394531,96.4199981689453,,320,1,1910,34,1876,0
1,2006.32995605469,64.3300018310547,1.04924,126,1,1942,66,1876,0
1,2006.25,79.25,23.51353,1044,1,1927,51,1876,0
0,2006,88,,616,1,1918,42,1876,0
1,2005.92004394531,53.9199981689453,52.67432,184,1,1952,76,1876,0
0,2005.92004394531,81.9199981689453,,30.34,1,1924,48,1876,0
0,2005.92004394531,99.9199981689453,,33.84,1,1906,30,1876,0
1,2005.92004394531,65.9199981689453,1.76678,254.375,1,1940,64,1876,0
1,2005.75,99.75,0.53026,116.44,1,1906,30,1876,0
1,2005.75,95.75,0.73902,133,1,1910,34,1876,0
1,2005.75,61.75,0.37726,253.45,1,1944,68,1876,0
1,2005.5,60.5,0.41301,249.57,1,1945,69,1876,0
1,2005.42004394531,64.4199981689453,0.87466,198,1,1941,65,1876,0
1,2005,64,0.99983,195,1,1941,65,1876,0
1,2005,53,40.65682,96.3,1,1952,76,1876,0
1,2005,97,79.83489,373.95,1,1908,32,1876,0
1,2005,99,3559.91019,708,1,1906,30,1876,0
1,2005,93,186.52333,333.3,1,1912,36,1876,0
1,2004.92004394531,69.9199981689453,1.974,90.95,1,1935,59,1876,0
1,2004.92004394531,66.9199981689453,1.71144,79.65,1,1938,62,1876,0
1,2004.82995605469,87.8300018310547,1.56578,256.5,1,1917,41,1876,0
0,2004.82995605469,62.8300018310547,,120,1,1942,66,1876,0
1,2004.82995605469,94.8300018310547,1.75367,92,1,1910,34,1876,0
1,2004.5,94.5,1.08876,256.19,1,1910,34,1876,0
1,2004.5,102.5,1.27051,206.4,1,1902,26,1876,0
1,2004.5,78.5,16.22667,660,1,1926,50,1876,0
1,2004.42004394531,61.4199981689453,1.19067,486.75,1,1943,67,1876,0
1,2004.42004394531,69.4199981689453,30.49485,1512,1,1935,59,1876,0
0,2004.42004394531,74.4199981689453,,320,1,1930,54,1876,0
1,2004.42004394531,97.4199981689453,5.04782,171,1,1907,31,1876,0
1,2004.42004394531,97.4199981689453,1.59405,167.31,1,1907,31,1876,0
1,2004.42004394531,98.4199981689453,11.08904,134.4,1,1906,30,1876,0
1,2004.42004394531,97.4199981689453,2.1254,202.96,1,1907,31,1876,0
0,2004.42004394531,77.4199981689453,,504,1,1927,51,1876,0
1,2004.25,97.25,6.41368,48.8,1,1907,31,1876,0
0,2004.25,56.25,,116.4,1,1948,72,1876,0
0,2004.25,89.25,,438.45,0,1915,39,1876,0
1,2004.25,96.25,2.92758,31.5,1,1908,32,1876,0
0,2004,98,,26,1,1906,30,1876,0
1,2004,61,3.69497,355.5,1,1943,67,1876,0
1,2004,98,116.73929,246,1,1906,30,1876,0
1,2004,91,21.09457,1026,1,1913,37,1876,0
0,2003.5,77.5,,660,1,1926,50,1876,0
1,2003.5,64.5,2.82359,130.15,1,1939,63,1876,0
1,2003.42004394531,55.4199981689453,42.61297,418,1,1948,72,1876,0
1,2003.42004394531,93.4199981689453,12.83667,42.5,1,1910,34,1876,0
1,2003.42004394531,96.4199981689453,9.69881,77.6,1,1907,31,1876,0
1,2003.42004394531,95.4199981689453,34.23111,252,1,1908,32,1876,0
1,2003.42004394531,87.4199981689453,15.68926,655.5,1,1916,40,1876,0
1,2003.42004394531,74.4199981689453,290.96441,1512,1,1929,53,1876,0
1,2003.42004394531,93.4199981689453,10.26933,359.64,1,1910,34,1876,0
0,2003.42004394531,68.4199981689453,,1512,1,1935,59,1876,0
0,2003.42004394531,55.4199981689453,,116.4,1,1948,72,1876,0
1,2003.25,63.25,26.95227,183.69,1,1940,64,1876,0
0,2003.25,61.25,,120,1,1942,66,1876,0
1,2003.25,69.25,11.30104,86.7,1,1934,58,1876,0
1,2003,91,3560.24733,1057.04,1,1912,36,1876,0
1,2003,104,246.05721,100,1,1899,23,1876,0
1,2003,99,219.15235,110.5,1,1904,28,1876,0
1,2003,61,37.15502,104.4,1,1942,66,1876,0
1,2003,58,34.29473,72,1,1945,69,1876,0
1,2003,63,21.43301,93.5,1,1940,64,1876,0
1,2002.92004394531,59.9199981689453,2.06412,379.75,1,1943,67,1876,0
0,2002.82995605469,90.8300018310547,,189.75,1,1912,36,1876,0
1,2002.42004394531,95.4199981689453,1.70764,183.69,1,1907,31,1876,0
1,2002.42004394531,92.4199981689453,1.96379,60,1,1910,34,1876,0
1,2002.42004394531,72.4199981689453,46.31222,480,1,1930,54,1876,0
1,2002.42004394531,61.4199981689453,3.12119,203.55,1,1941,65,1876,0
1,2002.32995605469,57.3300018310547,0.71041,157.5,1,1945,69,1876,0
1,2002.32995605469,57.3300018310547,0.71041,144,1,1945,69,1876,0
0,2001.92004394531,89.9199981689453,,217.8,1,1912,36,1876,1
0,2001.92004394531,77.9199981689453,,154,1,1924,48,1876,1
1,2001.82995605469,82.8300018310547,4.28122,63.24,1,1919,43,1876,1
0,2001.5,76.5,,708,1,1925,49,1876,1
1,2001.5,91.5,3.09627,154.35,1,1910,34,1876,1
1,2001.42004394531,96.4199981689453,46.10216,419.49,1,1905,29,1876,1
1,2001.42004394531,95.4199981689453,149.47533,275.1,1,1906,30,1876,1
1,2001,66,8.97289,221.34,1,1935,59,1876,0
1,2000.92004394531,97.9199981689453,196.35508,255.6,1,1903,27,1876,0
1,2000.92004394531,101.919998168945,46.19254,112.2,1,1899,23,1876,0
1,2000.82995605469,100.830001831055,2.53134,194.4,1,1900,24,1876,0
1,2000.5,100.5,11.86689,32.4,1,1900,24,1876,0
1,2000.42004394531,75.4199981689453,131.9447,99,1,1925,49,1876,0
1,2000.42004394531,56.4199981689453,23.87241,651,1,1944,68,1876,0
1,2000.42004394531,48.4199981689453,33.96993,310,1,1952,76,1876,0
1,2000.42004394531,55.4199981689453,28.95165,720,1,1945,69,1876,0
1,2000.42004394531,58.4199981689453,11.9362,120,1,1942,66,1876,0
0,1999.92004394531,82.9199981689453,,274,1,1917,41,1876,0
0,1999.75,59.75,,125,1,1940,64,1876,0
0,1999.75,71.75,,125.19,1,1928,52,1876,0
1,1999.42004394531,47.4199981689453,9.63855,306.25,1,1952,76,1876,0
1,1999.42004394531,87.4199981689453,176.06791,333.3,1,1912,36,1876,0
1,1999.42004394531,84.4199981689453,6.62651,29.25,1,1915,39,1876,0
1,1999.25,56.25,1.09223,115,1,1943,67,1876,0
1,1999.25,96.25,31.71889,224,1,1903,27,1876,0
1,1999.07995605469,92.0800018310547,5.1609,287.24,1,1907,31,1876,0
1,1998.92004394531,78.9199981689453,1.16578,294,1,1920,44,1876,0
1,1998.82995605469,91.8300018310547,5.79887,48,1,1907,31,1876,0
1,1998.75,78.75,1.37588,62.31,1,1920,44,1876,0
0,1998.75,56.75,,300,1,1942,66,1876,0
1,1998.75,81.75,0.17551,157.5,1,1917,41,1876,0
1,1998.5,77.5,12.28501,396,1,1921,45,1876,0
1,1998.42004394531,68.4199981689453,14.76015,509.35,1,1930,54,1876,0
0,1998.42004394531,91.4199981689453,,287.24,1,1907,31,1876,0
0,1998.42004394531,53.4199981689453,,101.25,1,1945,69,1876,0
1,1998.32995605469,49.3300018310547,6.16523,775,1,1949,73,1876,0
1,1998.32995605469,92.3300018310547,4.31566,203,1,1906,30,1876,0
1,1998.32995605469,56.3300018310547,25.89396,402.5,1,1942,66,1876,0
1,1998,95,57.02888,266.64,1,1903,27,1876,0
1,1998,74,112.65311,423,1,1924,48,1876,0
0,1997.82995605469,71.8300018310547,,504,1,1926,50,1876,0
1,1997.5,89.5,20.26272,221,1,1908,32,1876,0
1,1997.5,97.5,5.9328,111.55,1,1900,24,1876,0
1,1997.5,98.5,54.47736,642.32,1,1899,23,1876,0
1,1997.32995605469,63.3300018310547,3.43965,371.25,1,1934,58,1876,0
1,1997,61,12.57071,137.7,1,1936,60,1876,0
1,1997,62,1.63419,271.95,1,1935,59,1876,0
1,1997,97,3.14268,32.4,1,1900,24,1876,0
0,1996.92004394531,81.9199981689453,,453.25,1,1915,39,1876,0
1,1996.82995605469,80.8300018310547,0.94817,283.59,1,1916,40,1876,0
1,1996.75,94.75,6.97527,118.75,1,1902,26,1876,0
1,1996.25,66.25,2.57235,298.41,1,1930,54,1876,0
0,1995.92004394531,83.9199981689453,,110.4,1,1912,36,1876,0
0,1995.75,63.75,,223.68,1,1932,56,1876,0
1,1995.75,70.75,1.69824,708,1,1925,49,1876,0
0,1995.75,56.75,,86.7,1,1939,63,1876,0
0,1995.75,88.75,,280.5,1,1907,31,1876,0
0,1995.75,91.75,,212.4,1,1904,28,1876,0
1,1995.57995605469,95.5800018310547,0.07864,23.94,1,1900,24,1876,0
1,1995.42004394531,95.4199981689453,11.83432,40,1,1900,24,1876,0
1,1995.42004394531,87.4199981689453,26.29849,197.95,1,1908,32,1876,0
1,1995.42004394531,50.4199981689453,24.65769,720,1,1945,69,1876,0
1,1995.42004394531,46.4199981689453,5.00243,178.25,1,1949,73,1876,0
0,1995.25,46.25,,247.05,1,1949,73,1876,0
0,1995.25,50.25,,450,1,1945,69,1876,0
1,1995.25,92.25,14.55026,117,1,1903,27,1876,0
0,1995.25,68.25,,220.64,1,1927,51,1876,0
0,1995,66,,1512,1,1929,53,1876,0
1,1994.92004394531,55.9199981689453,2.13618,508.75,1,1939,63,1876,0
1,1994.75,65.75,45.05876,173.6,1,1929,53,1876,0
1,1994.42004394531,49.4199981689453,12.20339,123.76,1,1945,69,1876,0
1,1994.42004394531,45.4199981689453,4.40678,34.5,1,1949,73,1876,0
1,1994.25,87.25,2.37933,85.41,1,1907,31,1876,0
1,1994.25,47.25,5.77838,522.72,1,1947,71,1876,0
1,1993.75,89.75,5.51724,237.5,1,1904,28,1876,0
0,1993.75,44.75,,34.5,1,1949,73,1876,0
1,1993.75,59.75,2.2069,168.75,1,1934,58,1876,0
1,1993.75,51.75,0.58651,126.04,1,1942,66,1876,0
1,1993.42004394531,88.4199981689453,20.80444,419.49,1,1905,29,1876,0
1,1993.42004394531,68.4199981689453,41.79801,170.24,1,1925,49,1876,0
1,1993.42004394531,87.4199981689453,0.24302,102.75,1,1906,30,1876,0
1,1993.42004394531,84.4199981689453,0.55479,136.5,1,1909,33,1876,0
1,1993.25,59.25,1.74459,373.24,1,1934,58,1876,0
1,1993.25,86.25,0.43691,206.4,1,1907,31,1876,0
1,1993.25,48.25,0.90719,140,1,1945,69,1876,0
0,1993.25,55.25,,71.4,1,1938,62,1876,0
1,1993,93,16.16304,114.75,1,1900,24,1876,0
1,1993,60,18.27126,501.8,1,1933,57,1876,0
0,1993,95,,585.66,1,1898,22,1876,0
1,1993,52,1.40548,187,1,1941,65,1876,0
1,1992.75,52.75,1.98441,135,1,1940,64,1876,0
1,1992.75,49.75,12.75691,320,1,1943,67,1876,0
1,1992.75,58.75,15.59178,216,1,1934,58,1876,0
1,1992.42004394531,90.4199981689453,114.53114,454.99,1,1902,26,1876,0
1,1992.42004394531,46.4199981689453,10.02147,79.38,1,1946,70,1876,0
1,1992.42004394531,93.4199981689453,13.60057,640.15,1,1899,23,1876,0
0,1992.32995605469,54.3300018310547,,71.4,1,1938,62,1876,0
0,1992.32995605469,54.3300018310547,,216,1,1938,62,1876,0
0,1992.25,50.25,,123.3,1,1942,66,1876,0
1,1992.25,58.25,5.75126,216,1,1934,58,1876,0
0,1992,58,,371.25,1,1934,58,1876,0
1,1992,80,5.78871,158.4,1,1912,36,1876,0
1,1992,88,57.88712,156,1,1904,28,1876,0
0,1992,85,,417.6,1,1907,31,1876,0
0,1991.75,92.75,,640.15,1,1899,23,1876,0
0,1990.82995605469,45.8300018310547,,119.34,1,1945,69,1876,1
0,1990.42004394531,47.4199981689453,,320,1,1943,67,1876,0
1,1989.42004394531,91.4199981689453,40.42037,585.66,1,1898,22,1876,0
1,1989.25,43.25,10.6383,79.38,1,1946,70,1876,0
0,1989.17004394531,47.1699981689453,,128.8,1,1942,66,1876,0
1,1988.5,48.5,6.35593,243,1,1940,64,1876,0
1,1988.5,39.5,6.35593,385,1,1949,73,1876,0
1,1988.42004394531,39.4199981689453,19.57447,178.25,1,1949,73,1876,0
1,1988,55,13.4083,468.75,1,1933,57,1876,0
1,1987.42004394531,53.4199981689453,12.38938,111.55,1,1934,58,1876,0
1,2008.42004394531,95.4199981689453,153.6587,832,0,1913,43,1870,1
1,2008,98,1.95822,69.375,1,1910,40,1870,1
0,2007.42004394531,97.4199981689453,,192,0,1910,40,1870,0
1,2007.17004394531,95.1699981689453,1.83609,65,1,1912,42,1870,0
1,2006.92004394531,95.9199981689453,92.98321,391,1,1911,41,1870,0
0,2006.92004394531,76.9199981689453,,208,0,1930,60,1870,0
0,2006.42004394531,97.4199981689453,,750,1,1909,39,1870,0
1,2006.32995605469,69.3300018310547,3.96944,174,1,1937,67,1870,0
1,2005.75,93.75,1.50905,66.34,1,1912,42,1870,0
1,2005.67004394531,69.6699981689453,89.24018,174.8,1,1936,66,1870,0
1,2005.42004394531,91.4199981689453,127.91951,480,0,1914,44,1870,0
1,2005.42004394531,75.4199981689453,86.23787,447.7,1,1930,60,1870,0
1,2005,89,410.06101,432,1,1916,46,1870,0
1,2004.42004394531,91.4199981689453,169.06159,832,0,1913,43,1870,0
1,2004,85,211.71282,510,0,1919,49,1870,0
1,2003.42004394531,68.4199981689453,110.86211,466.89,0,1935,65,1870,0
1,2003.42004394531,87.4199981689453,24.24703,224,0,1916,46,1870,0
1,2003.07995605469,67.0800018310547,184.83023,174.8,1,1936,66,1870,0
1,2000.92004394531,91.9199981689453,365.27797,750,1,1909,39,1870,0
1,2000.92004394531,90.9199981689453,27.64439,181.5,1,1910,40,1870,0
0,2000.92004394531,81.9199981689453,,510,0,1919,49,1870,0
0,2000,81,,510,0,1919,49,1870,0
0,1997.5,93.5,,832,1,1904,34,1870,0
1,1997,67,42.2833,325.5,1,1930,60,1870,0
1,1996.42004394531,94.4199981689453,174.08742,750,1,1902,32,1870,0
1,1994.25,91.25,1.69952,193.2,1,1903,33,1870,0
1,1992.42004394531,83.4199981689453,214.74588,806,1,1909,39,1870,0
1,1991.92004394531,93.9199981689453,1.37881,224.4,1,1898,28,1870,0
0,2008.42004394531,108.419998168945,,567,1,1900,27,1873,1
0,2008.42004394531,115.419998168945,,266,1,1893,20,1873,1
1,2007.25,91.25,16.52304,720,1,1916,43,1873,0
1,2006.92004394531,74.9199981689453,25.82867,320,1,1932,59,1873,0
1,2006.92004394531,88.9199981689453,7.92079,592.25,1,1918,45,1873,0
1,2006.5,112.5,33.47266,750,1,1894,21,1873,0
0,2006,71,,20,1,1935,62,1873,0
0,2005.92004394531,89.9199981689453,,720,1,1916,43,1873,0
1,2005.42004394531,89.4199981689453,1.4678,130,1,1916,43,1873,0
1,2005,91,46.26795,291.84,1,1914,41,1873,0
1,2005,93,14.96904,320,1,1912,39,1873,0
1,2004.5,91.5,1.55506,125,1,1913,40,1873,0
0,2003.25,85.25,,462.95,1,1918,45,1873,0
1,2003,101,31.43923,488.84,1,1902,29,1873,0
0,2002.75,105.75,,206.4,1,1897,24,1873,0
1,2001.42004394531,91.4199981689453,23.54153,345,0,1910,37,1873,1
1,2001,87,22.41147,323.61,1,1914,41,1873,0
1,1999.42004394531,84.4199981689453,43.53779,484,1,1915,42,1873,0
1,1999,96,80.45786,1397.25,1,1903,30,1873,0
1,1998,88,112.65311,735,1,1910,37,1873,0
1,1998,92,53.93864,750,1,1906,33,1873,0
1,1996.42004394531,88.4199981689453,122.93653,1320,1,1908,35,1873,0
0,1993,90,,1397.25,1,1903,30,1873,0
0,1992.42004394531,79.4199981689453,,482,1,1913,40,1873,0
1,1992.32995605469,80.3300018310547,7.89096,320,1,1912,39,1873,0
1,1990.75,58.75,18.86792,320,1,1932,59,1873,1
1,1989,86,91.13505,750,1,1903,30,1873,0
0,1987.42004394531,89.4199981689453,,238,1,1898,25,1873,0
1,2008.67004394531,88.6699981689453,19.65445,280,1,1920,53,1867,1
1,2008,86,14.13091,762.5,1,1922,55,1867,1
0,2007.92004394531,87.9199981689453,,440.44,1,1920,53,1867,0
0,2007.92004394531,85.9199981689453,,320,1,1922,55,1867,0
1,2007.42004394531,85.4199981689453,37.84137,320,1,1922,55,1867,0
1,2007.17004394531,105.169998168945,10.77175,567,1,1902,35,1867,0
1,2007.17004394531,74.1699981689453,0.244,67.735,1,1933,66,1867,0
1,2006.82995605469,101.830001831055,6.41407,390.42,1,1905,38,1867,0
0,2006.75,84.75,,762.5,1,1922,55,1867,0
1,2006.42004394531,71.4199981689453,0.27255,65,1,1935,68,1867,0
1,2006.25,80.25,9.40541,750,1,1926,59,1867,0
1,2005.92004394531,89.9199981689453,94.81377,1743.3,1,1916,49,1867,0
1,2005.92004394531,85.9199981689453,0.22968,99,1,1920,53,1867,0
1,2005.92004394531,70.9199981689453,0.21033,65,1,1935,68,1867,0
1,2005.07995605469,105.080001831055,3.00104,133,1,1900,33,1867,0
1,2005,76,10.34225,280,1,1929,62,1867,0
0,2004.75,81.75,,115,1,1923,56,1867,0
1,2004.25,89.25,8.55158,327.24,0,1915,48,1867,0
1,2004.25,104.25,1.59674,133,1,1900,33,1867,0
1,2003.82995605469,83.8300018310547,3.08161,55.51,0,1920,53,1867,0
1,2003.42004394531,87.4199981689453,127.58867,266,1,1916,49,1867,0
0,2002.32995605469,98.3300018310547,,192,1,1904,37,1867,0
1,2002.32995605469,78.3300018310547,0.51856,33.75,1,1924,57,1867,0
1,2002,94,109.53674,817.8,1,1908,41,1867,0
1,2001.92004394531,81.9199981689453,23.02511,442.86,1,1920,53,1867,1
1,2000,67,0.43272,66.5,1,1933,66,1867,0
1,1999.42004394531,77.4199981689453,58.59803,320,1,1922,55,1867,0
1,1999.25,74.25,0.6068,80.64,1,1925,58,1867,0
1,1998.42004394531,92.4199981689453,14.76015,750,1,1906,39,1867,0
1,1998.42004394531,83.4199981689453,1.53752,750,1,1915,48,1867,0
1,1998.42004394531,76.4199981689453,62.89836,758.02,1,1922,55,1867,0
1,1997,73,6.28536,336,1,1924,57,1867,0
1,1996.42004394531,91.4199981689453,5.55988,390.42,1,1905,38,1867,0
1,1996.42004394531,106.419998168945,0.50039,92.15,1,1890,23,1867,0
1,1996,80,0.97466,78.54,1,1916,49,1867,0
1,1995.42004394531,90.4199981689453,36.011,846.65,1,1905,38,1867,0
1,1994.42004394531,72.4199981689453,63.91371,320,1,1922,55,1867,0
1,1993.42004394531,93.4199981689453,11.79521,505.12,1,1900,33,1867,0
1,1993,63,4.91918,280,1,1930,63,1867,0
0,1992.25,69.25,,320,1,1923,56,1867,0
0,1991.42004394531,91.4199981689453,,505.12,1,1900,33,1867,0
0,1990.92004394531,67.9199981689453,,320,1,1923,56,1867,1
