"absent","aide","black","boy","freelunch","id","mathscore","readscore","regular","schid","schrural","schurban","small","tchexper","tchid","tchmasters","tchwhite","totalscore","white_asian"
0,1,0,0,1,11007,489,431,0,257899,1,0,0,12,25789905,1,1,920,1
25,1,0,0,1,11013,463,418,0,228606,1,0,0,8,22860601,1,1,881,1
8,0,0,1,0,11018,500,421,1,225585,1,0,0,13,22558503,0,0,921,1
24,1,0,0,1,11025,444,424,0,189382,0,0,0,14,18938203,1,1,868,1
12,1,1,0,1,11040,468,413,0,244764,0,1,0,1,24476401,0,0,881,0
29,1,0,0,1,11046,429,405,0,112038,0,1,0,17,11203803,0,1,834,1
39,1,0,1,1,11049,434,418,0,257905,0,1,0,14,25790505,0,1,852,1
3,1,0,1,0,11050,528,436,0,128079,1,0,0,8,12807902,0,1,964,1
3,1,0,1,1,11051,489,448,0,128068,1,0,0,11,12806803,0,1,937,1
13,1,0,0,1,11052,484,408,0,225585,1,0,0,13,22558504,1,1,892,1
55,0,1,0,1,11057,473,431,1,244776,0,1,0,7,24477607,1,1,904,0
1,0,0,1,1,11058,536,453,1,244745,0,0,0,1,24474503,0,0,989,1
14,0,1,1,1,11059,500,425,0,244736,0,1,1,6,24473603,0,1,925,0
27,0,0,0,1,11066,439,419,1,128079,1,0,0,8,12807901,0,1,858,1
19,0,1,1,1,11069,439,428,1,244774,0,1,0,6,24477405,0,0,867,0
7,0,0,1,0,11077,528,447,1,169229,0,0,0,11,16922902,0,1,975,1
3,0,0,0,0,11078,439,398,1,169229,0,0,0,11,16922902,0,1,837,1
6,1,1,0,1,11086,494,443,0,244697,0,1,0,5,24469703,1,1,937,0
8,1,0,1,1,11089,489,428,0,201449,1,0,0,12,20144902,1,1,917,1
6,0,1,0,1,11090,429,414,0,244697,0,1,1,1,24469702,0,1,843,0
0,0,0,0,0,11094,506,436,0,244801,0,0,1,5,24480102,0,1,942,1
23,0,0,1,1,11099,449,414,1,191411,1,0,0,13,19141103,1,1,863,1
11,0,1,0,1,11106,559,440,1,244780,0,1,0,10,24478002,0,0,999,0
29,1,0,1,1,11117,473,407,0,208501,1,0,0,12,20850102,1,1,880,1
3,0,1,1,1,11124,506,437,1,215533,1,0,0,15,21553302,1,1,943,0
5,1,1,1,0,11128,434,398,0,201449,1,0,0,7,20144904,1,1,832,0
18,0,0,1,1,11131,449,408,0,205492,0,0,1,3,20549204,0,1,857,1
3,1,0,1,1,11140,602,456,0,244745,0,0,0,5,24474501,0,0,1058,1
6,1,0,1,1,11144,468,436,0,218562,0,1,0,8,21856202,1,1,904,1
36,1,0,1,1,11150,489,403,0,128076,0,0,0,7,12807603,0,1,892,1
8,0,0,1,0,11151,559,461,1,203452,1,0,0,20,20345205,0,1,1020,1
18,0,1,0,1,11152,439,419,0,205490,0,1,1,3,20549001,0,1,858,0
10,0,0,1,1,11156,444,433,1,205488,0,0,0,12,20548802,0,1,877,1
7,0,0,0,0,11157,513,485,1,252885,1,0,0,5,25288503,0,1,998,1
21,0,1,1,1,11160,602,458,0,244755,0,1,1,3,24475507,0,0,1060,0
2,0,0,1,1,11162,429,405,1,257899,1,0,0,12,25789904,1,1,834,1
4,1,0,1,1,11170,468,410,0,112038,0,1,0,17,11203803,0,1,878,1
7,0,1,0,1,11171,449,408,1,112038,0,1,0,6,11203802,1,1,857,0
15,0,0,1,1,11176,478,430,1,128068,1,0,0,1,12806802,0,1,908,1
1,0,1,1,1,11177,494,433,1,205490,0,1,0,12,20549003,0,1,927,0
1,1,1,1,1,11178,463,433,0,205490,0,1,0,11,20549002,0,1,896,0
1,1,1,1,1,11179,468,450,0,244776,0,1,0,10,24477606,1,0,918,0
14,0,0,1,0,11184,439,456,1,234628,1,0,0,8,23462805,0,1,895,1
9,0,1,0,0,11187,484,436,0,205492,0,0,1,3,20549204,0,1,920,0
18,0,1,0,1,11193,473,436,1,205492,0,0,0,24,20549203,1,1,909,0
12,0,0,0,0,11197,576,458,1,205488,0,0,0,12,20548802,0,1,1034,1
16,0,1,1,1,11198,478,405,1,244755,0,1,0,11,24475501,0,1,883,0
10,0,0,1,0,11200,439,411,1,205491,0,0,0,3,20549103,0,1,850,1
16,1,1,0,1,11202,439,410,0,205490,0,1,0,11,20549002,0,1,849,0
2,0,1,0,1,11203,506,485,0,205492,0,0,1,3,20549202,0,1,991,0
17,0,0,1,0,11206,602,460,1,203452,1,0,0,20,20345205,0,1,1062,1
12,1,0,0,1,11208,528,453,0,161183,1,0,0,10,16118304,1,1,981,1
34,0,0,0,0,11210,500,580,0,128079,1,0,1,8,12807903,0,1,1080,1
4,0,0,0,0,11211,506,443,1,161183,1,0,0,12,16118301,1,1,949,1
1,0,0,0,0,11212,559,495,0,205488,0,0,1,4,20548803,1,1,1054,1
8,0,1,0,1,11213,418,403,1,205490,0,1,0,12,20549003,0,1,821,0
9,1,0,1,0,11214,449,439,0,203452,1,0,0,5,20345204,0,1,888,1
16,0,1,0,1,11216,528,434,1,205492,0,0,0,24,20549203,1,1,962,0
8,1,0,1,0,11217,463,431,0,180344,0,1,0,0,18034402,0,1,894,1
15,1,0,0,1,11219,429,431,0,205491,0,0,0,17,20549104,0,1,860,1
20,0,0,0,0,11220,412,414,1,161176,1,0,0,6,16117603,0,1,826,1
21,0,0,0,1,11228,473,418,0,128068,1,0,1,12,12806801,1,1,891,1
21,0,0,1,1,11234,528,434,0,231616,1,0,1,9,23161602,1,1,962,1
2,1,1,1,1,11236,463,428,0,244806,0,1,0,10,24480606,0,0,891,0
5,0,0,1,1,11255,500,447,0,205491,0,0,1,0,20549101,0,1,947,1
2,0,0,1,0,11261,412,407,0,209510,1,0,1,10,20951004,0,1,819,1
43,0,0,1,1,11267,528,434,0,193423,1,0,1,12,19342302,0,1,962,1
12,1,0,1,1,11275,412,388,0,221571,1,0,0,7,22157105,0,1,800,1
0,0,0,1,0,11285,429,431,1,244818,0,1,0,9,24481804,0,0,860,1
17,0,1,1,1,11287,418,393,0,244801,0,0,1,5,24480102,0,1,811,0
8,1,0,1,0,11291,473,424,0,169229,0,0,0,5,16922904,0,0,897,1
10,0,1,1,1,11292,489,397,1,244708,0,1,0,3,24470804,0,0,886,0
5,0,1,1,1,11294,392,391,1,244723,0,1,0,8,24472305,1,1,783,0
3,0,1,0,1,11300,559,485,0,244780,0,1,1,2,24478003,0,1,1044,0
10,1,0,0,0,11303,454,442,0,168211,1,0,0,27,16821102,0,1,896,1
5,0,0,0,1,11305,559,453,0,252885,1,0,1,14,25288501,1,1,1012,1
3,0,1,1,1,11308,434,395,1,244774,0,1,0,6,24477405,0,0,829,0
4,0,0,1,1,11311,454,413,0,112038,0,1,1,12,11203801,1,1,867,1
6,1,1,1,1,11315,429,422,0,244727,0,0,0,12,24472703,0,0,851,0
11,0,0,1,0,11321,429,390,1,164198,1,0,0,4,16419803,1,1,819,1
33,0,0,1,0,11323,506,416,1,234628,1,0,0,8,23462805,0,1,922,1
11,0,0,1,0,11324,444,403,0,168211,1,0,1,15,16821103,1,1,847,1
15,1,0,1,0,11328,473,453,0,169229,0,0,0,5,16922904,0,0,926,1
12,0,0,0,0,11332,489,434,0,244745,0,0,1,14,24474502,1,0,923,1
36,1,1,0,1,11334,547,478,0,244780,0,1,0,24,24478001,1,1,1025,0
5,0,1,1,1,11346,463,410,0,244776,0,1,1,3,24477608,0,0,873,0
7,1,0,0,0,11352,459,436,0,189382,0,0,0,14,18938203,1,1,895,1
2,0,1,1,1,11354,463,433,1,244776,0,1,0,7,24477607,1,1,896,0
17,1,1,1,1,11363,506,421,0,244801,0,0,0,8,24480103,0,0,927,0
4,0,1,1,1,11365,429,400,1,205490,0,1,0,12,20549003,0,1,829,0
10,0,0,1,1,11368,439,405,0,208501,1,0,1,5,20850104,0,1,844,1
48,0,0,0,0,11369,513,450,0,193423,1,0,1,12,19342302,0,1,963,1
9,0,0,0,0,11379,547,422,1,244801,0,0,0,0,24480101,0,1,969,1
9,0,0,0,0,11382,463,437,0,228606,1,0,1,12,22860603,0,1,900,1
5,0,1,0,0,11388,506,421,1,244727,0,0,0,4,24472702,0,1,927,0
4,0,1,1,1,11389,500,460,0,244796,0,1,1,12,24479601,1,1,960,0
27,0,1,0,1,11390,468,416,1,244736,0,1,0,0,24473602,0,1,884,0
3,0,1,1,1,11391,506,421,0,244776,0,1,1,6,24477601,1,1,927,0
4,0,0,0,0,11392,489,428,1,244818,0,1,0,9,24481804,0,0,917,1
7,0,1,1,1,11393,536,463,0,244746,0,1,1,5,24474603,0,1,999,0
13,0,1,1,1,11394,478,414,0,244774,0,1,1,6,24477402,0,0,892,0
0,0,1,0,0,11397,536,450,0,244727,0,0,1,21,24472701,0,1,986,0
4,1,1,1,1,11398,429,424,0,244697,0,1,0,22,24469704,1,1,853,0
14,1,1,0,0,11400,473,448,0,244727,0,0,0,1,24472704,0,0,921,0
1,0,1,0,1,11401,576,503,0,244755,0,1,1,3,24475507,0,0,1079,0
4,1,1,1,1,11402,536,440,0,244774,0,1,0,1,24477403,0,1,976,0
3,0,1,0,1,11403,463,470,1,244806,0,1,0,6,24480605,0,0,933,0
6,1,1,1,1,11404,468,433,0,244697,0,1,0,22,24469704,1,1,901,0
16,1,1,0,1,11405,468,431,0,244697,0,1,0,5,24469703,1,1,899,0
7,1,1,0,1,11406,459,424,0,244755,0,1,0,16,24475506,0,0,883,0
1,1,1,0,1,11407,459,436,0,244755,0,1,0,16,24475506,0,0,895,0
34,1,1,1,1,11408,444,442,0,244746,0,1,0,17,24474601,1,1,886,0
21,0,1,1,1,11410,506,434,0,244755,0,1,1,9,24475503,0,0,940,0
9,1,1,0,1,11411,454,421,0,244708,0,1,0,0,24470806,0,1,875,0
1,0,1,0,0,11412,520,465,0,244818,0,1,1,10,24481802,1,0,985,0
8,0,1,0,0,11413,528,442,1,244839,0,0,0,1,24483901,0,1,970,0
1,0,1,0,1,11414,429,388,1,244708,0,1,0,2,24470803,0,1,817,0
15,0,1,1,1,11415,463,419,0,244697,0,1,1,1,24469702,0,1,882,0
8,1,1,0,1,11417,459,410,0,244697,0,1,0,22,24469704,1,1,869,0
4,0,1,1,1,11418,478,461,1,244806,0,1,0,0,24480603,0,0,939,0
6,0,0,0,0,11419,500,443,1,244801,0,0,0,0,24480101,0,1,943,1
12,0,1,1,1,11420,423,431,0,244796,0,1,1,21,24479603,0,0,854,0
0,0,1,0,0,11421,602,490,1,244839,0,0,0,20,24483903,0,0,1092,0
4,0,1,1,1,11422,405,388,1,244708,0,1,0,2,24470803,0,1,793,0
17,0,1,1,1,11423,468,428,0,244697,0,1,1,1,24469702,0,1,896,0
3,1,1,1,1,11424,439,416,0,244697,0,1,0,22,24469704,1,1,855,0
9,1,1,0,1,11425,484,414,0,244697,0,1,0,22,24469704,1,1,898,0
16,0,1,1,1,11426,439,425,0,244746,0,1,1,5,24474603,0,1,864,0
0,0,1,0,1,11428,489,430,1,244796,0,1,0,11,24479602,1,0,919,0
5,0,1,0,0,11430,506,433,0,244799,0,0,1,13,24479902,0,1,939,0
3,0,1,1,1,11432,468,425,0,244806,0,1,1,1,24480601,0,1,893,0
1,0,1,1,1,11433,468,419,1,244796,0,1,0,11,24479602,1,0,887,0
28,1,1,0,1,11436,494,461,0,244806,0,1,0,20,24480602,0,0,955,0
28,0,1,1,1,11437,500,434,1,244755,0,1,0,1,24475504,0,0,934,0
2,1,1,0,1,11438,513,430,0,244697,0,1,0,22,24469704,1,1,943,0
2,0,1,1,1,11439,506,442,0,244708,0,1,1,14,24470801,0,1,948,0
18,0,1,1,1,11440,468,422,0,244799,0,0,1,13,24479902,0,1,890,0
17,1,1,1,1,11441,429,400,0,244723,0,1,0,6,24472304,0,1,829,0
1,0,1,0,0,11442,576,427,1,244746,0,1,0,5,24474602,0,1,1003,0
19,0,1,1,1,11443,449,408,1,244697,0,1,0,6,24469701,1,1,857,0
23,0,1,0,0,11444,489,443,0,244801,0,0,1,20,24480104,1,1,932,0
25,1,1,1,1,11445,478,458,0,244755,0,1,0,7,24475502,0,1,936,0
,0,0,1,0,11447,528,467,1,244745,0,0,0,1,24474503,0,0,995,1
3,1,0,1,0,11449,520,442,0,168214,1,0,0,6,16821402,1,1,962,1
15,1,1,0,1,11451,454,413,0,244818,0,1,0,11,24481803,1,1,867,0
0,0,1,0,0,11452,602,480,1,244839,0,0,0,20,24483903,0,0,1082,0
13,1,0,1,0,11453,528,448,0,244801,0,0,0,8,24480103,0,0,976,1
3,1,1,0,0,11454,484,445,0,244745,0,0,0,15,24474504,1,0,929,0
10,0,1,0,1,11455,513,439,1,244776,0,1,0,7,24477607,1,1,952,0
9,1,1,0,1,11457,520,467,0,244776,0,1,0,5,24477603,0,0,987,0
11,0,0,0,0,11458,500,445,0,244801,0,0,1,5,24480102,0,1,945,1
6,0,1,0,1,11459,528,447,0,244736,0,1,1,6,24473603,0,1,975,0
9,1,1,0,1,11464,459,447,0,244746,0,1,0,17,24474601,1,1,906,0
27,0,1,1,1,11467,399,380,1,244708,0,1,0,3,24470804,0,0,779,0
2,0,0,1,1,11470,484,405,0,257899,1,0,1,13,25789902,1,1,889,1
7,0,1,0,1,11471,602,439,0,244774,0,1,1,6,24477402,0,0,1041,0
4,0,1,0,1,11473,454,430,1,244818,0,1,0,10,24481801,0,0,884,0
42,1,1,0,1,11475,454,419,0,244723,0,1,0,17,24472301,1,1,873,0
27,0,1,1,1,11476,459,403,0,244796,0,1,1,12,24479601,1,1,862,0
2,1,1,0,1,11477,500,433,0,244727,0,0,0,1,24472704,0,0,933,0
24,1,1,1,1,11478,439,424,0,244723,0,1,0,6,24472304,0,1,863,0
10,0,1,1,1,11479,434,397,1,244746,0,1,0,5,24474602,0,1,831,0
4,1,1,1,1,11480,506,500,0,244774,0,1,0,0,24477401,0,1,1006,0
8,1,1,1,1,11481,434,414,0,244776,0,1,0,10,24477606,1,0,848,0
23,0,0,1,1,11482,429,402,0,112038,0,1,1,12,11203801,1,1,831,1
1,0,1,1,1,11484,602,470,1,244780,0,1,0,10,24478002,0,0,1072,0
0,0,1,1,0,11487,506,447,0,244796,0,1,1,12,24479601,1,1,953,0
,1,1,1,0,11489,468,411,0,244723,0,1,0,6,24472304,0,1,879,0
11,1,0,1,1,11490,449,411,0,128076,0,0,0,7,12807603,0,1,860,1
4,0,1,0,1,11491,473,424,1,244728,0,1,0,15,24472803,1,0,897,0
1,1,1,0,1,11492,478,474,0,244776,0,1,0,10,24477606,1,0,952,0
10,0,1,1,1,11493,444,414,1,244708,0,1,0,2,24470803,0,1,858,0
8,1,1,1,1,11494,434,395,0,244774,0,1,0,1,24477403,0,1,829,0
14,0,1,1,1,11495,449,411,1,244708,0,1,0,2,24470803,0,1,860,0
13,0,1,0,1,11496,454,461,0,244697,0,1,1,14,24469705,0,0,915,0
1,0,1,1,1,11497,384,358,1,244708,0,1,0,3,24470804,0,0,742,0
27,0,0,1,1,11499,449,414,1,161176,1,0,0,6,16117603,0,1,863,1
1,0,1,0,0,11501,602,474,1,244755,0,1,0,24,24475505,0,0,1076,0
15,0,1,0,0,11503,626,465,0,244780,0,1,1,2,24478003,0,1,1091,0
14,0,1,1,1,11504,513,476,0,244727,0,0,1,21,24472701,0,1,989,0
12,0,1,1,1,11505,439,411,0,244708,0,1,1,14,24470801,0,1,850,0
9,0,0,1,0,11506,484,419,1,123056,1,0,0,16,12305603,0,1,903,1
1,0,0,1,0,11508,500,439,1,168214,1,0,0,16,16821403,0,1,939,1
1,1,0,0,1,11513,478,450,0,244745,0,0,0,15,24474504,1,0,928,1
3,0,1,0,1,11514,576,450,1,244806,0,1,0,6,24480605,0,0,1026,0
3,1,1,0,1,11515,423,397,0,244697,0,1,0,22,24469704,1,1,820,0
6,0,1,0,1,11516,449,400,0,244776,0,1,1,3,24477608,0,0,849,0
10,0,0,0,1,11517,473,424,1,193422,1,0,0,11,19342203,0,1,897,1
20,1,1,1,1,11519,429,443,0,244818,0,1,0,11,24481803,1,1,872,0
0,0,1,0,1,11520,468,430,1,244799,0,0,0,6,24479904,0,1,898,0
9,0,1,1,0,11521,536,468,0,244727,0,0,1,21,24472701,0,1,1004,0
0,1,1,0,1,11526,484,439,0,244799,0,0,0,10,24479901,1,1,923,0
6,0,1,1,1,11527,489,410,1,244799,0,0,0,6,24479904,0,1,899,0
7,0,1,0,0,11530,536,450,1,244839,0,0,0,1,24483901,0,1,986,0
25,0,0,0,1,11536,473,418,0,169219,0,0,1,14,16921901,0,1,891,1
14,1,0,1,0,11537,547,433,0,201449,1,0,0,7,20144904,1,1,980,1
8,0,1,1,1,11539,439,402,0,112038,0,1,1,12,11203801,1,1,841,0
18,0,0,1,0,11540,454,407,0,180344,0,1,1,1,18034405,0,1,861,1
6,0,1,0,1,11544,478,428,0,244796,0,1,1,12,24479601,1,1,906,0
19,0,0,1,1,11545,459,422,0,189378,1,0,1,12,18937804,0,1,881,1
22,0,0,1,1,11557,473,405,0,215533,1,0,1,4,21553305,0,1,878,1
6,0,0,0,0,11559,454,411,1,216536,1,0,0,2,21653601,0,1,865,1
15,0,0,1,1,11561,489,467,1,159171,1,0,0,10,15917103,0,1,956,1
7,0,1,1,1,11567,513,427,1,244745,0,0,0,1,24474503,0,0,940,0
51,1,0,1,1,11573,484,414,0,257899,1,0,0,12,25789905,1,1,898,1
16,0,0,1,1,11576,434,395,0,189382,0,0,1,7,18938204,1,1,829,1
24,0,0,1,1,11577,468,430,1,130085,0,0,0,22,13008501,1,1,898,1
0,0,0,1,0,11587,439,408,1,264945,0,0,0,3,26494503,0,1,847,1
0,0,1,1,1,11589,449,421,0,201449,1,0,1,7,20144906,0,1,870,0
5,0,0,1,0,11591,489,439,0,264945,0,0,1,5,26494504,0,1,928,1
4,1,0,1,0,11595,559,507,0,165199,0,1,0,12,16519903,1,1,1066,1
8,0,0,1,0,11607,576,455,1,218562,0,1,0,0,21856204,0,1,1031,1
13,0,0,0,0,11613,444,391,0,203452,1,0,1,19,20345203,0,1,835,1
16,0,0,0,1,11616,463,425,0,205491,0,0,1,15,20549102,0,1,888,1
14,0,0,1,1,11617,418,405,1,189382,0,0,0,15,18938202,0,1,823,1
17,0,0,0,1,11620,412,393,1,208501,1,0,0,13,20850101,0,1,805,1
13,0,1,1,1,11628,489,395,1,215533,1,0,0,0,21553306,0,1,884,0
18,0,0,0,1,11630,500,428,1,215533,1,0,0,0,21553306,0,1,928,1
13,0,0,1,0,11633,463,424,0,221574,1,0,1,1,22157401,0,1,887,1
8,0,0,1,0,11634,602,503,0,228606,1,0,1,14,22860604,0,1,1105,1
7,0,1,0,1,11637,494,419,1,244708,0,1,0,2,24470803,0,1,913,0
21,0,0,1,1,11639,429,402,1,112038,0,1,0,6,11203802,1,1,831,1
8,1,0,0,0,11640,547,445,0,228606,1,0,0,8,22860601,1,1,992,1
8,0,0,0,1,11646,463,433,1,216536,1,0,0,1,21653605,0,1,896,1
12,0,0,0,1,11647,444,411,0,253888,1,0,1,5,25388803,0,1,855,1
24,0,0,1,1,11649,473,408,1,257899,1,0,0,13,25789901,1,1,881,1
2,0,0,0,0,11651,536,447,0,228606,1,0,1,12,22860603,0,1,983,1
5,1,1,1,1,11656,444,400,0,112038,0,1,0,17,11203803,0,1,844,0
0,0,0,0,1,11659,439,434,1,128068,1,0,0,1,12806802,0,1,873,1
3,0,0,1,0,11664,454,414,0,166203,0,1,1,11,16620301,0,1,868,1
6,1,0,0,0,11666,459,418,0,165199,0,1,0,12,16519903,1,1,877,1
3,0,0,1,1,11669,454,413,0,234628,1,0,1,10,23462804,1,1,867,1
23,0,0,0,1,11670,405,378,0,168211,1,0,1,8,16821104,0,1,783,1
5,0,0,0,0,11672,520,439,1,168214,1,0,0,16,16821403,0,1,959,1
12,1,0,1,0,11674,536,451,0,259915,1,0,0,15,25991502,0,1,987,1
8,1,0,1,0,11678,576,485,0,264945,0,0,0,17,26494501,0,1,1061,1
13,0,0,1,0,11681,559,458,0,262937,0,0,1,8,26293704,1,1,1017,1
6,0,0,0,1,11698,547,439,0,193423,1,0,1,12,19342302,0,1,986,1
6,1,1,1,1,11701,405,397,0,221571,1,0,0,7,22157105,0,1,802,0
17,1,0,0,1,11703,468,416,0,209510,1,0,0,13,20951003,0,1,884,1
6,0,0,1,0,11704,412,402,0,221571,1,0,1,3,22157102,0,1,814,1
5,0,0,1,0,11705,536,439,1,225585,1,0,0,13,22558501,1,1,975,1
5,0,0,1,0,11707,547,437,1,228606,1,0,0,13,22860602,0,1,984,1
70,1,0,1,1,11708,444,403,0,234628,1,0,0,9,23462803,1,1,847,1
17,0,0,1,1,11711,444,418,0,168211,1,0,1,15,16821103,1,1,862,1
6,1,1,1,1,11712,478,414,0,244745,0,0,0,15,24474504,1,0,892,0
3,1,1,1,0,11722,463,407,0,112038,0,1,0,17,11203803,0,1,870,0
16,1,0,1,1,11725,484,416,0,128079,1,0,0,8,12807902,0,1,900,1
17,0,0,1,1,11733,444,413,0,123056,1,0,1,6,12305602,1,1,857,1
48,1,0,1,1,11734,473,447,0,169231,0,1,0,9,16923101,0,1,920,1
