"price","sqft","age","pool","fireplace","close","twostory","occupied"
315,26.03,9,0,1,1,0,1
328.9,29.48,10,0,1,1,0,1
254.5,23.45,9,0,0,1,0,1
900,55.86,9,0,1,1,0,0
334.5,21,9,0,0,1,0,0
398,31.96,9,0,1,1,0,0
321,22.46,10,1,0,1,1,0
325,25.97,10,0,1,1,0,1
795,40.01,6,0,1,1,1,1
415,37.93,10,0,1,1,0,0
460,24.94,9,0,1,1,0,0
640,51.13,6,0,1,1,1,1
365,38.85,8,0,1,1,1,1
288.25,31.47,10,0,1,1,0,0
285,32.01,11,0,0,1,1,1
460,37.5,10,0,0,1,1,1
319.9,29.7,10,0,1,1,1,1
380,29.8,10,0,1,1,0,1
347,26.65,6,0,1,1,0,1
365,28.85,10,0,1,1,1,1
296.9,22.47,10,0,0,1,0,0
230,21,9,0,0,1,0,0
245,15.38,10,0,1,1,0,1
342,30.25,7,0,1,1,0,1
215,26.99,11,0,1,1,0,0
287,27.51,10,0,1,1,0,1
270,25.61,10,0,0,1,0,1
340,35.32,8,0,1,1,1,1
278,20.7,10,0,1,1,0,0
295,30.36,10,0,1,1,0,0
269,27.34,8,0,0,1,1,0
252,22.02,10,0,0,1,0,1
165,14.7,10,0,0,1,0,0
223,15.51,10,0,0,1,0,1
205.5,11.48,10,0,0,1,0,1
350,25.21,11,0,1,1,1,1
207,19.17,10,0,0,1,0,1
270,21.04,10,0,1,1,0,1
296,32.55,10,0,1,1,0,1
470,29.49,8,0,1,1,1,1
