"dateid01","s"
10/1/1992,-2.639574
11/1/1992,-1.901778
12/1/1992,0.831939
1/1/1993,-1.375699
2/1/1993,2.488668
3/1/1993,1.441338
4/1/1993,0.818404
5/1/1993,-4.99924
6/1/1993,-0.696764
7/1/1993,1.652442
8/1/1993,-1.860931
9/1/1993,-3.875571
10/1/1993,3.172448
11/1/1993,-1.132344
12/1/1993,1.880179
1/1/1994,5.803553
2/1/1994,0.923729
3/1/1994,-2.396844
4/1/1994,1.641701
5/1/1994,3.272643
6/1/1994,-0.955508
7/1/1994,1.38929
8/1/1994,0.431908
9/1/1994,-0.431908
10/1/1994,0.391496
11/1/1994,3.338943
12/1/1994,1.217474
1/1/1995,-2.410383
2/1/1995,-2.51048
3/1/1995,-1.567323
4/1/1995,0.260649
5/1/1995,-2.230473
6/1/1995,-0.731162
7/1/1995,4.18714
8/1/1995,1.81055
9/1/1995,0.344965
10/1/1995,0.211696
11/1/1995,-1.29034
12/1/1995,-0.254709
1/1/1996,-0.040277
2/1/1996,2.493167
3/1/1996,2.048296
4/1/1996,0.779706
5/1/1996,1.629132
6/1/1996,-1.171815
7/1/1996,-2.035791
8/1/1996,2.276313
9/1/1996,0.189478
10/1/1996,-0.063119
11/1/1996,2.346295
12/1/1996,-1.767094
1/1/1997,-4.428057
2/1/1997,1.79482
3/1/1997,1.369797
4/1/1997,-0.688954
5/1/1997,-2.567568
6/1/1997,-2.097236
7/1/1997,-0.04025
8/1/1997,-1.45988
9/1/1997,-2.008044
10/1/1997,-2.276338
11/1/1997,-3.367614
12/1/1997,-4.141627
1/1/1998,2.511478
2/1/1998,0.773929
3/1/1998,-1.659355
4/1/1998,-2.055962
5/1/1998,-4.130937
6/1/1998,-1.632887
7/1/1998,-0.359243
8/1/1998,-7.153167
9/1/1998,4.366455
10/1/1998,5.210877
11/1/1998,0.953448
12/1/1998,-2.953192
1/1/1999,2.366308
2/1/1999,-0.97515
3/1/1999,1.086446
4/1/1999,4.732867
5/1/1999,-1.634997
6/1/1999,1.60468
7/1/1999,-1.158903
8/1/1999,-2.186303
9/1/1999,2.431401
10/1/1999,-1.386557
11/1/1999,-1.091884
12/1/1999,2.509037
1/1/2000,-2.414978
2/1/2000,-3.816831
3/1/2000,-1.442885
4/1/2000,-2.440776
5/1/2000,-2.988886
6/1/2000,4.283566
7/1/2000,-2.777956
8/1/2000,-1.279188
9/1/2000,-5.63605
10/1/2000,-5.388318
11/1/2000,1.522921
12/1/2000,5.8157
1/1/2001,-1.344741
2/1/2001,-4.031901
3/1/2001,-7.103577
4/1/2001,3.969252
5/1/2001,0.235571
6/1/2001,-0.491401
7/1/2001,-0.672205
8/1/2001,5.799564
9/1/2001,-8.168201
10/1/2001,2.606403
11/1/2001,2.86765
12/1/2001,-1.824231
1/1/2002,-0.549884
2/1/2002,1.679399
3/1/2002,2.900967
4/1/2002,1.51221
5/1/2002,5.005109
6/1/2002,-0.459284
7/1/2002,-3.056143
8/1/2002,0.980934
9/1/2002,-1.768989
10/1/2002,1.805136
11/1/2002,1.328327
12/1/2002,0.958304
1/1/2003,3.845962
2/1/2003,2.848241
3/1/2003,-0.297767
4/1/2003,3.163479
5/1/2003,4.580474
6/1/2003,2.30383
7/1/2003,-2.196559
8/1/2003,-1.99558
9/1/2003,6.077167
10/1/2003,3.539042
11/1/2003,2.245393
12/1/2003,3.998901
1/1/2004,1.901801
2/1/2004,0.833772
3/1/2004,-1.555892
4/1/2004,-4.984488
5/1/2004,-1.07221
6/1/2004,-3.620692
7/1/2004,1.398221
8/1/2004,0.35722
9/1/2004,1.921234
10/1/2004,4.299677
11/1/2004,4.1224
12/1/2004,0.19274
1/1/2005,-0.592251
2/1/2005,2.057712
3/1/2005,-2.381065
4/1/2005,1.184817
5/1/2005,-3.305871
6/1/2005,1.053057
7/1/2005,-0.551472
8/1/2005,-1.646128
9/1/2005,1.909113
10/1/2005,-1.69518
11/1/2005,-1.317578
12/1/2005,-0.706237
1/1/2006,2.330543
2/1/2006,-1.719086
3/1/2006,-3.06743
4/1/2006,5.211709
5/1/2006,1.238651
6/1/2006,-2.694436
7/1/2006,2.982131
8/1/2006,-0.405627
9/1/2006,-1.946179
10/1/2006,2.794804
11/1/2006,2.03327
12/1/2006,0.799344
1/1/2007,-2.469261
2/1/2007,2.051354
3/1/2007,2.382558
4/1/2007,2.423916
5/1/2007,-0.290698
6/1/2007,2.904992
7/1/2007,0.99655
8/1/2007,-4.266106
9/1/2007,7.197519
10/1/2007,4.31259
11/1/2007,-3.883016
12/1/2007,-0.554269
1/1/2008,0.768365
2/1/2008,6.345453
3/1/2008,-3.067923
4/1/2008,1.69578
5/1/2008,2.349812
6/1/2008,0.698465
7/1/2008,-2.014759
8/1/2008,-8.803335
9/1/2008,-7.734542
10/1/2008,-17.982343
11/1/2008,-1.629979
12/1/2008,5.275297
1/1/2009,-7.335324
2/1/2009,0.248216
3/1/2009,6.29006
4/1/2009,5.54676
5/1/2009,8.53123
6/1/2009,2.521037
7/1/2009,2.037277
8/1/2009,1.343429
9/1/2009,4.746733
10/1/2009,4.008999
11/1/2009,0.185397
12/1/2009,-2.303513
1/1/2010,-0.671219
2/1/2010,-0.112309
3/1/2010,2.879809
4/1/2010,1.52774
5/1/2010,-9.11254
6/1/2010,0.387939
