"id","schid","aide","black","boy","freelunch","mathscore","readscore","regular","schrural","schurban","small","tchexper","tchid","tchmasters","tchwhite"
14219,244697,1,1,0,1,418,414,0,0,1,0,22,24469704,1,1
16503,264945,1,0,1,0,506,456,0,0,0,0,17,26494501,0,1
15873,205491,0,0,1,0,528,480,0,0,0,1,0,20549101,0,1
15330,112038,1,0,1,1,468,405,0,0,1,0,17,11203803,0,1
13366,191411,0,0,0,0,494,476,0,1,0,1,8,19141101,1,1
15912,180344,0,1,1,1,418,414,0,0,1,1,1,18034405,0,1
11206,203452,0,0,1,0,602,460,1,1,0,0,20,20345205,0,1
11144,218562,1,0,1,1,468,436,0,0,1,0,8,21856202,1,1
13622,261927,0,0,1,0,576,627,0,1,0,1,3,26192703,0,1
11798,166203,0,1,1,1,429,425,0,0,1,1,11,16620301,0,1
13684,244774,0,1,1,1,444,382,1,0,1,0,6,24477405,0,0
15802,234628,1,0,0,0,547,497,0,1,0,0,9,23462803,1,1
12704,208501,0,0,1,0,500,447,1,1,0,0,13,20850101,0,1
14277,244745,1,1,1,1,494,402,0,0,0,0,15,24474504,1,0
13413,244697,1,1,0,1,500,476,0,0,1,0,5,24469703,1,1
15433,173312,0,0,0,0,528,487,0,1,0,1,11,17331201,0,1
16213,203452,0,0,0,1,459,442,0,1,0,1,19,20345203,0,1
11058,244745,0,0,1,1,536,453,1,0,0,0,1,24474503,0,0
13429,161183,1,0,1,1,444,405,0,1,0,0,10,16118302,1,1
15654,252885,0,0,0,0,484,425,1,1,0,0,5,25288503,0,1
13867,168211,0,0,0,1,459,422,0,1,0,1,15,16821103,1,1
14737,259915,0,0,1,0,528,445,1,1,0,0,5,25991503,1,1
18616,257905,0,0,1,0,489,467,0,0,1,1,7,25790501,1,1
12588,262937,0,0,1,0,602,514,1,0,0,0,15,26293702,1,1
17784,244831,0,1,1,1,412,391,0,0,0,1,12,24483101,0,0
16241,205492,0,1,1,1,536,411,1,0,0,0,24,20549203,1,1
13975,201449,0,0,1,0,536,485,1,1,0,0,10,20144905,0,1
16771,244799,1,1,0,1,423,408,0,0,0,0,10,24479901,1,1
21119,176329,1,0,1,1,459,431,0,1,0,0,21,17632904,1,1
14598,230612,1,0,0,0,559,448,0,1,0,0,6,23061201,0,1
15230,162184,0,0,0,0,459,416,1,1,0,0,4,16218401,0,1
16481,165199,1,0,0,1,454,403,0,0,1,0,12,16519903,1,1
15172,215533,1,0,0,0,559,455,0,1,0,0,9,21553304,0,1
12558,166203,1,0,1,0,468,413,0,0,1,0,5,16620303,0,1
16068,128076,1,0,1,0,513,428,0,0,0,0,7,12807603,0,1
17474,244755,0,1,0,1,500,424,1,0,1,0,1,24475504,0,0
14663,234628,0,0,1,0,547,443,1,1,0,0,8,23462805,0,1
14990,244728,0,1,1,1,429,393,0,0,1,1,1,24472801,0,1
10290,169219,0,1,1,0,454,408,1,0,0,0,12,16921902,1,1
14327,244697,0,1,1,1,399,411,1,0,1,0,6,24469701,1,1
13592,208503,1,0,0,1,439,425,0,1,0,0,3,20850303,1,1
11956,169280,1,0,0,0,484,440,0,0,0,0,7,16928003,0,1
13668,244746,0,1,0,1,506,451,0,0,1,1,5,24474603,0,1
12872,252885,1,0,0,0,528,465,0,1,0,0,9,25288504,0,1
12745,221571,0,0,0,0,468,408,1,1,0,0,13,22157103,1,1
13380,244799,1,1,1,0,500,421,0,0,0,0,10,24479901,1,1
15699,130085,0,0,0,1,449,428,0,0,0,1,7,13008502,1,1
12970,244708,0,1,1,1,468,431,1,0,1,0,2,24470803,0,1
17394,169280,0,0,1,0,484,439,1,0,0,0,13,16928002,1,1
18300,166203,1,0,1,1,468,413,0,0,1,0,5,16620303,0,1
15071,191411,0,0,0,0,473,447,1,1,0,0,13,19141103,1,1
13272,205490,0,1,0,1,405,395,0,0,1,1,3,20549001,0,1
16697,225585,0,0,1,0,459,424,0,1,0,1,15,22558502,0,1
16185,168211,1,0,0,1,418,413,0,1,0,0,14,16821105,0,1
11394,244774,0,1,1,1,478,414,0,0,1,1,6,24477402,0,0
17125,216536,0,0,1,0,520,437,0,1,0,1,22,21653604,0,1
14206,209510,1,0,1,1,429,400,0,1,0,0,3,20951002,0,1
13067,228606,1,1,1,1,489,437,0,1,0,0,8,22860601,1,1
19501,244708,0,1,0,1,449,395,1,0,1,0,3,24470804,0,0
15006,169229,0,0,1,1,500,424,1,0,0,0,13,16922903,1,1
13809,244831,1,1,1,1,489,428,0,0,0,0,2,24483103,0,1
13639,161183,1,0,1,0,434,422,0,1,0,0,10,16118304,1,1
16492,123056,0,0,1,0,468,422,0,1,0,1,6,12305602,1,1
12465,221571,0,0,0,0,559,483,0,1,0,1,21,22157104,0,1
16979,208501,1,0,1,1,468,419,0,1,0,0,12,20850102,1,1
14606,244799,0,1,1,1,444,414,1,0,0,0,6,24479904,0,1
16382,244806,0,1,1,1,429,410,1,0,1,0,0,24480603,0,0
14434,257905,0,0,1,0,536,465,1,0,1,0,8,25790506,0,1
14115,244806,1,1,1,1,459,465,0,0,1,0,20,24480602,0,0
13918,244818,0,1,0,0,434,400,0,0,1,1,10,24481802,1,0
17250,193423,0,0,1,0,536,448,0,1,0,1,12,19342302,0,1
13839,161176,0,0,1,0,463,413,0,1,0,1,6,16117604,0,1
12998,244839,0,1,0,1,513,422,1,0,0,0,1,24483901,0,1
15658,216536,0,0,0,0,513,445,1,1,0,0,2,21653601,0,1
16874,169229,1,0,1,0,513,442,0,0,0,0,5,16922904,0,0
16716,261927,0,0,1,0,459,391,1,1,0,0,13,26192702,1,1
12352,205489,1,0,0,0,454,439,0,0,0,0,3,20548903,0,1
20110,169219,0,0,0,0,576,510,0,0,0,1,14,16921901,0,1
12066,168214,1,0,0,0,520,443,0,1,0,0,6,16821402,1,1
15360,164198,0,0,1,1,506,463,0,1,0,1,12,16419802,1,1
18191,262937,1,0,1,0,468,439,0,0,0,0,16,26293701,0,1
12191,252885,1,0,1,1,444,403,0,1,0,0,9,25288504,0,1
12179,165199,0,0,1,0,559,514,0,0,1,1,12,16519901,1,1
12141,205489,0,0,0,0,459,448,1,0,0,0,14,20548902,0,1
13505,208501,0,0,0,0,547,458,1,1,0,0,13,20850101,0,1
17067,164198,0,0,1,1,449,425,1,1,0,0,4,16419803,1,1
15157,259915,0,0,0,1,449,407,1,1,0,0,5,25991503,1,1
16518,169219,1,0,1,0,520,476,0,0,0,0,18,16921903,0,1
18295,203452,0,0,0,0,520,460,1,1,0,0,20,20345205,0,1
15280,244776,0,1,0,1,439,448,1,0,1,0,7,24477607,1,1
15548,193423,0,0,0,0,626,460,0,1,0,1,12,19342302,0,1
16500,169280,1,0,1,0,576,580,0,0,0,0,7,16928003,0,1
14108,203452,0,0,1,0,506,472,0,1,0,1,19,20345203,0,1
16638,212522,0,0,0,1,506,472,0,0,1,1,21,21252203,0,1
20145,244799,0,1,0,0,536,434,0,0,0,1,5,24479903,0,0
16212,162184,0,0,0,1,484,403,1,1,0,0,4,16218401,0,1
14376,252885,0,0,1,0,459,439,1,1,0,0,10,25288502,1,1
18320,170295,0,0,0,1,454,428,0,1,0,1,2,17029503,0,1
20122,161183,1,0,1,0,559,495,0,1,0,0,10,16118304,1,1
18217,261927,1,0,0,0,528,447,0,1,0,0,11,26192701,1,1
20117,221574,0,0,1,0,454,425,1,1,0,0,2,22157404,0,1
12409,159171,0,0,1,0,576,470,0,1,0,1,6,15917104,0,1
14785,221574,0,0,0,0,489,445,0,1,0,1,8,22157403,1,1
16595,201449,0,0,1,1,473,421,1,1,0,0,10,20144905,0,1
18909,166203,1,0,1,1,429,419,0,0,1,0,5,16620303,0,1
14778,193423,0,0,0,1,513,425,0,1,0,1,6,19342301,0,1
17006,215533,1,0,0,1,536,461,0,1,0,0,3,21553301,0,1
14127,208501,0,0,0,0,576,532,1,1,0,0,13,20850101,0,1
17515,244708,1,1,0,1,412,398,0,0,1,0,2,24470805,0,1
12861,257905,0,0,0,0,489,478,0,0,1,1,7,25790501,1,1
16584,189382,1,0,0,0,506,450,0,0,0,0,14,18938203,1,1
15412,216536,0,0,0,0,478,445,1,1,0,0,1,21653605,0,1
12864,257905,0,0,0,0,468,470,0,0,1,1,14,25790502,0,1
16490,123056,1,0,1,0,494,436,0,1,0,0,4,12305601,0,1
10302,234628,1,0,0,1,576,460,0,1,0,0,9,23462803,1,1
16170,180344,0,1,0,1,444,427,1,0,1,0,5,18034401,0,1
19504,244806,0,1,1,1,536,483,1,0,1,0,12,24480604,0,0
14064,244806,0,1,0,0,459,433,1,0,1,0,0,24480603,0,0
13511,221571,0,0,0,0,500,451,1,1,0,0,3,22157101,0,0
18716,221571,0,0,1,0,423,393,1,1,0,0,13,22157103,1,1
12515,253888,0,0,0,1,547,474,0,1,0,1,5,25388803,0,1
10282,189382,1,0,1,1,449,448,0,0,0,0,14,18938203,1,1
13832,244818,0,0,0,0,454,391,1,0,1,0,9,24481804,0,0
21115,176329,0,0,1,1,489,448,0,1,0,1,4,17632903,0,1
20265,205489,1,0,0,0,439,393,0,0,0,0,3,20548903,0,1
12217,128076,1,0,1,0,454,393,0,0,0,0,7,12807603,0,1
21486,191411,1,0,1,1,506,467,0,1,0,0,8,19141102,1,1
16262,193423,1,0,0,1,513,431,0,1,0,0,12,19342303,1,1
11704,221571,0,0,1,0,412,402,0,1,0,1,3,22157102,0,1
17409,244806,0,1,0,1,536,458,1,0,1,0,0,24480603,0,0
15964,168211,0,0,1,1,439,436,0,1,0,1,8,16821104,0,1
21507,128079,1,0,0,0,412,411,0,1,0,0,8,12807902,0,1
17298,244796,0,1,1,1,449,402,1,0,1,0,11,24479602,1,0
15914,159171,0,0,1,0,547,510,1,1,0,0,16,15917105,1,1
14276,244745,1,1,1,1,484,414,0,0,0,0,5,24474501,0,0
18671,180344,1,0,1,1,559,448,0,0,1,0,11,18034403,0,1
17163,218562,1,0,0,0,454,424,0,0,1,0,8,21856202,1,1
21113,176329,0,0,0,1,439,407,0,1,0,1,4,17632903,0,1
14412,257905,1,1,1,1,463,453,0,0,1,0,11,25790507,0,1
14093,244774,1,1,1,1,454,398,0,0,1,0,0,24477401,0,1
14667,244799,0,1,1,1,444,421,1,0,0,0,6,24479904,0,1
13830,244831,0,0,0,1,520,430,0,0,0,1,12,24483101,0,0
16251,208503,0,0,1,0,513,427,0,1,0,1,8,20850302,1,1
12822,244818,0,1,0,1,444,414,1,0,1,0,10,24481801,0,0
17114,244799,0,1,1,1,444,436,0,0,0,1,13,24479902,0,1
14638,189396,0,1,1,1,468,393,0,1,0,1,5,18939601,1,1
12583,264945,1,0,1,0,536,433,0,0,0,0,3,26494502,0,1
13613,231616,1,0,0,1,536,456,0,1,0,0,12,23161601,0,1
13185,164198,0,0,1,0,602,500,0,1,0,1,12,16419802,1,1
12665,191411,0,0,0,0,506,478,0,1,0,1,8,19141101,1,1
21135,169231,0,0,0,0,473,430,1,0,1,0,3,16923103,1,0
16505,169280,0,0,0,0,484,453,1,0,0,0,13,16928002,1,1
15364,166203,1,0,0,0,536,440,0,0,1,0,5,16620303,0,1
12145,212522,0,0,0,1,478,424,0,0,1,1,17,21252204,1,1
20118,169219,0,0,1,0,559,443,1,0,0,0,12,16921902,1,1
16014,244839,0,1,0,1,559,463,0,0,0,1,0,24483904,0,1
11388,244727,0,1,0,0,506,421,1,0,0,0,4,24472702,0,1
16810,257905,1,0,1,0,528,465,0,0,1,0,14,25790505,0,1
16410,252885,0,0,1,0,434,414,1,1,0,0,10,25288502,1,1
17787,244736,0,1,1,1,506,439,1,0,1,0,0,24473602,0,1
21357,218562,0,0,0,0,520,434,1,0,1,0,0,21856204,0,1
12099,262937,0,0,1,0,576,467,0,0,0,1,8,26293704,1,1
13864,123056,1,0,1,1,449,407,0,1,0,0,4,12305601,0,1
19831,173312,0,1,0,0,439,478,0,1,0,1,11,17331201,0,1
15154,208501,0,0,1,0,559,424,0,1,0,1,5,20850104,0,1
14730,161183,0,0,0,1,547,433,1,1,0,0,12,16118301,1,1
15666,257905,0,0,1,0,468,447,1,0,1,0,5,25790504,0,1
14460,128076,0,0,0,0,500,442,1,0,0,0,8,12807602,0,1
14274,244697,1,1,1,1,439,428,0,0,1,0,22,24469704,1,1
16616,205491,1,0,1,0,449,416,0,0,0,0,17,20549104,0,1
21145,244801,0,0,1,0,484,430,0,0,0,1,5,24480102,0,1
15567,159171,0,1,0,1,463,414,0,1,0,1,8,15917102,1,1
17870,189396,0,0,1,1,454,416,1,1,0,0,4,18939602,0,1
13454,244755,0,1,1,0,536,450,0,0,1,1,9,24475503,0,0
12455,261927,0,0,0,0,478,422,1,1,0,0,11,26192704,1,1
21408,201449,1,0,1,1,559,472,0,1,0,0,7,20144904,1,1
16090,165199,0,0,1,0,559,450,0,0,1,1,12,16519901,1,1
13534,216536,0,0,1,1,489,447,0,1,0,1,22,21653604,0,1
21572,244746,0,0,0,1,494,442,1,0,1,0,5,24474602,0,1
16442,261927,0,0,1,0,500,436,1,1,0,0,13,26192702,1,1
13452,244746,1,1,1,1,459,445,0,0,1,0,17,24474601,1,1
11634,228606,0,0,1,0,602,503,0,1,0,1,14,22860604,0,1
15217,164198,1,0,0,1,484,436,0,1,0,0,13,16419801,1,1
16070,128068,0,0,0,0,536,451,0,1,0,1,12,12806801,1,1
17057,230612,0,0,1,0,576,453,0,1,0,1,4,23061202,0,1
17174,189378,0,0,0,0,459,390,0,1,0,1,12,18937804,0,1
16870,262937,0,0,0,0,520,443,0,0,0,1,18,26293703,1,1
12501,216536,0,0,0,0,520,455,1,1,0,0,2,21653601,0,1
11439,244708,0,1,1,1,506,442,0,0,1,1,14,24470801,0,1
12234,166203,0,0,0,1,484,418,0,0,1,1,11,16620301,0,1
16829,128076,0,0,0,0,484,431,1,0,0,0,8,12807602,0,1
16201,191411,0,0,0,0,547,436,0,1,0,1,8,19141101,1,1
15308,257899,0,0,1,0,468,428,1,1,0,0,12,25789904,1,1
17591,180344,0,0,1,0,520,436,1,0,1,0,5,18034401,0,1
17762,244755,1,1,0,1,444,434,0,0,1,0,7,24475502,0,1
15363,205492,0,1,1,1,547,436,1,0,0,0,24,20549203,1,1
19503,244755,0,1,1,1,439,408,1,0,1,0,1,24475504,0,0
14872,244755,0,1,0,1,454,419,1,0,1,0,1,24475504,0,0
21144,244801,0,1,1,1,392,391,1,0,0,0,0,24480101,0,1
15027,264945,1,0,1,0,489,436,0,0,0,0,3,26494502,0,1
14539,264945,1,0,0,0,489,437,0,0,0,0,3,26494502,0,1
14425,257899,0,0,0,0,463,428,1,1,0,0,13,25789901,1,1
17454,231616,0,0,0,1,528,428,1,1,0,0,20,23161603,0,1
12953,208501,0,0,1,0,576,503,1,1,0,0,13,20850101,0,1
20135,191411,0,0,0,0,473,443,1,1,0,0,13,19141103,1,1
15498,212522,0,0,1,1,500,461,0,0,1,1,21,21252203,0,1
16089,164198,0,0,0,0,473,403,0,1,0,1,12,16419802,1,1
19795,257899,0,0,1,0,520,447,1,1,0,0,12,25789904,1,1
19479,259915,0,0,0,1,449,407,0,1,0,1,11,25991501,1,1
17494,244755,0,1,1,1,602,518,0,0,1,1,3,24475507,0,0
14472,130085,1,0,0,0,500,419,0,0,0,0,8,13008503,1,1
14333,244806,1,1,1,0,506,461,0,0,1,0,20,24480602,0,0
21560,215533,0,0,0,1,429,403,0,1,0,1,4,21553305,0,1
12519,257905,1,0,0,0,494,460,0,0,1,0,11,25790507,0,1
13134,244728,1,1,1,1,434,455,0,0,1,0,6,24472802,0,0
11160,244755,0,1,1,1,602,458,0,0,1,1,3,24475507,0,0
15522,208501,0,0,0,1,459,393,0,1,0,1,12,20850103,0,1
19462,201449,0,0,1,0,494,467,1,1,0,0,10,20144905,0,1
15069,180344,0,0,1,1,520,460,1,0,1,0,5,18034401,0,1
18758,162184,0,0,0,1,473,410,0,1,0,1,2,16218404,0,1
13963,244723,0,1,1,1,434,410,1,0,1,0,8,24472305,1,1
15565,170295,1,0,1,0,494,445,0,1,0,0,14,17029502,0,1
20195,161176,0,0,1,0,454,408,0,1,0,1,6,16117604,0,1
20272,161183,0,0,0,1,520,436,1,1,0,0,8,16118305,0,1
15629,244745,0,0,0,1,559,465,0,0,0,1,14,24474502,1,0
15115,203452,0,0,0,0,559,580,0,1,0,1,19,20345203,0,1
13723,244818,1,0,0,1,473,430,0,0,1,0,11,24481803,1,1
12275,169219,1,0,1,0,520,451,0,0,0,0,18,16921903,0,1
12188,216536,1,0,0,0,520,545,0,1,0,0,13,21653602,1,1
12752,212522,1,0,0,1,473,414,0,0,1,0,13,21252202,0,1
14439,173312,0,0,0,1,576,522,0,1,0,1,11,17331201,0,1
17200,261927,0,0,0,0,489,465,1,1,0,0,13,26192702,1,1
13288,159171,0,1,0,0,500,451,1,1,0,0,16,15917105,1,1
14736,208501,1,0,0,0,520,450,0,1,0,0,12,20850102,1,1
16745,244801,0,0,0,0,473,416,1,0,0,0,0,24480101,0,1
17071,244736,0,1,0,1,536,439,1,0,1,0,0,24473602,0,1
16310,221571,0,1,0,1,375,405,0,1,0,1,21,22157104,0,1
13325,201449,0,0,0,0,576,472,0,1,0,1,7,20144906,0,1
14405,257905,0,0,1,1,528,461,0,0,1,1,13,25790503,0,1
17480,244708,0,1,0,1,468,411,1,0,1,0,2,24470803,0,1
12250,169229,0,0,1,0,547,527,0,0,0,1,10,16922905,0,0
15180,193422,0,0,0,0,536,465,1,1,0,0,11,19342203,0,1
16672,180344,0,1,1,0,468,411,0,0,1,1,13,18034404,1,1
18231,244697,0,1,0,1,434,408,0,0,1,1,1,24469702,0,1
15738,259915,0,0,1,0,429,413,1,1,0,0,5,25991503,1,1
21406,193422,0,0,0,0,500,431,1,1,0,0,11,19342203,0,1
15763,201449,1,0,1,0,576,497,0,1,0,0,7,20144904,1,1
16959,161176,1,0,1,0,513,430,0,1,0,0,2,16117602,0,1
15155,208503,1,0,1,0,405,407,0,1,0,0,3,20850303,1,1
11049,257905,1,0,1,1,434,418,0,0,1,0,14,25790505,0,1
12292,209510,0,0,1,0,468,437,0,1,0,1,15,20951005,0,1
17649,257899,0,0,1,0,468,411,0,1,0,1,13,25789902,1,1
16671,193422,1,0,0,0,506,453,0,1,0,0,9,19342201,0,1
12614,169229,0,0,1,0,494,447,1,0,0,0,11,16922902,0,1
12303,203452,0,0,0,0,500,450,0,1,0,1,19,20345201,0,1
17279,244723,0,1,1,1,439,413,1,0,1,0,8,24472305,1,1
16447,112038,1,0,1,1,463,414,0,0,1,0,17,11203803,0,1
13331,205490,1,1,1,1,392,418,0,0,1,0,11,20549002,0,1
15065,176329,0,0,0,1,576,448,1,1,0,0,2,17632901,0,1
17321,244776,0,1,1,1,468,436,0,0,1,1,6,24477601,1,1
12939,244727,0,1,0,0,559,492,0,0,0,1,21,24472701,0,1
12798,244839,0,1,0,0,494,434,1,0,0,0,1,24483901,0,1
13231,244818,0,1,0,1,459,398,1,0,1,0,9,24481804,0,0
12126,208503,0,0,1,0,500,443,0,1,0,1,8,20850302,1,1
18249,257905,0,0,0,0,489,460,1,0,1,0,8,25790506,0,1
11838,205491,0,0,1,0,449,422,1,0,0,0,3,20549103,0,1
17457,244839,1,1,0,0,520,428,0,0,0,0,21,24483902,0,0
15072,203457,1,0,0,1,463,434,0,1,0,0,9,20345702,1,1
15951,225585,0,0,1,1,423,413,0,1,0,1,15,22558502,0,1
16106,234628,0,0,1,1,473,430,0,1,0,1,9,23462801,0,1
16321,225585,1,0,1,1,528,416,0,1,0,0,13,22558504,1,1
16367,215533,0,0,1,0,536,463,1,1,0,0,15,21553302,1,1
14890,244806,0,1,0,1,439,418,1,0,1,0,6,24480605,0,0
17277,244746,0,1,0,1,434,425,1,0,1,0,5,24474602,0,1
14003,244799,1,1,0,0,513,448,0,0,0,0,10,24479901,1,1
14514,234628,1,0,0,0,528,436,0,1,0,0,9,23462803,1,1
16577,130085,0,0,1,0,484,407,0,0,0,1,11,13008504,0,1
15840,203457,0,0,1,0,478,468,0,1,0,1,15,20345703,0,1
16875,264945,0,0,1,0,513,433,1,0,0,0,3,26494503,0,1
17379,169229,0,0,1,0,494,468,0,0,0,1,16,16922906,0,0
15292,203452,1,0,1,0,459,522,0,1,0,0,5,20345204,0,1
20867,203452,1,0,0,1,444,408,0,1,0,0,5,20345204,0,1
17035,208501,1,0,0,0,520,443,0,1,0,0,12,20850102,1,1
15402,169280,0,0,0,0,506,461,0,0,0,1,12,16928001,1,1
20175,161176,0,0,1,0,484,427,1,1,0,0,6,16117603,0,1
12264,262937,0,0,1,0,576,461,1,0,0,0,15,26293702,1,1
15798,180344,1,0,1,1,449,437,0,0,1,0,0,18034402,0,1
12509,257905,0,0,1,0,520,458,0,0,1,1,13,25790503,0,1
17572,244736,0,1,1,1,423,418,1,0,1,0,0,24473602,0,1
14719,244776,0,1,0,1,405,400,0,0,1,1,2,24477605,0,1
11705,225585,0,0,1,0,536,439,1,1,0,0,13,22558501,1,1
15352,161183,0,0,1,1,602,474,0,1,0,1,6,16118303,1,1
15650,244776,1,1,1,1,429,408,0,0,1,0,5,24477603,0,0
13190,166203,0,0,1,1,473,425,1,0,1,0,13,16620302,1,1
12269,169229,0,0,1,0,520,467,0,0,0,1,16,16922906,0,0
21485,221571,0,0,1,1,320,315,1,1,0,0,3,22157101,0,0
17673,244727,1,1,1,1,439,408,0,0,0,0,12,24472703,0,0
18715,244746,1,1,1,1,449,428,0,0,1,0,17,24474601,1,1
12709,221571,0,1,1,1,506,431,1,1,0,0,3,22157101,0,0
14673,244708,0,1,0,1,392,380,1,0,1,0,3,24470804,0,0
13357,244755,0,1,0,1,489,442,1,0,1,0,11,24475501,0,1
16736,193422,0,0,1,0,500,436,1,1,0,0,11,19342203,0,1
19491,165199,1,0,1,1,459,427,0,0,1,0,12,16519903,1,1
11422,244708,0,1,1,1,405,388,1,0,1,0,2,24470803,0,1
15076,128076,0,0,1,0,439,413,0,0,0,1,0,12807601,0,1
14167,193422,0,0,1,0,494,445,1,1,0,0,11,19342203,0,1
15483,203457,0,1,0,1,473,455,1,1,0,0,12,20345701,1,1
14729,205492,0,1,1,1,547,437,1,0,0,0,24,20549203,1,1
16710,176329,0,0,0,1,506,453,1,1,0,0,2,17632901,0,1
15617,234628,1,0,0,1,468,402,0,1,0,0,9,23462803,1,1
17565,244776,0,1,1,1,500,422,0,0,1,1,6,24477601,1,1
14758,212522,1,0,1,1,444,405,0,0,1,0,13,21252202,0,1
12178,234628,1,1,1,0,506,467,0,1,0,0,9,23462803,1,1
11737,166203,0,0,1,0,463,439,1,0,1,0,13,16620302,1,1
15148,244776,0,1,1,1,478,425,1,0,1,0,7,24477607,1,1
12499,216536,0,0,0,0,536,428,1,1,0,0,2,21653601,0,1
14529,262937,0,0,1,0,449,433,0,0,0,1,8,26293704,1,1
12068,168214,1,0,0,0,547,437,0,1,0,0,6,16821402,1,1
16082,161176,0,0,1,0,454,416,0,1,0,1,20,16117601,0,1
13400,244806,1,1,1,0,494,434,0,0,1,0,10,24480606,0,0
17516,244708,1,1,1,1,459,402,0,0,1,0,0,24470806,0,1
13011,244708,1,1,1,1,478,411,0,0,1,0,0,24470806,0,1
12800,244736,0,1,0,1,528,456,1,0,1,0,0,24473602,0,1
14280,169231,0,1,1,0,439,410,1,0,1,0,3,16923103,1,0
19103,262937,0,0,0,0,500,440,0,0,0,1,18,26293703,1,1
16653,231616,0,0,0,0,506,439,1,1,0,0,20,23161603,0,1
11203,205492,0,1,0,1,506,485,0,0,0,1,3,20549202,0,1
16871,169231,1,1,1,0,454,410,0,0,1,0,9,16923101,0,1
15134,128079,0,0,1,0,478,439,0,1,0,1,8,12807903,0,1
18707,161183,1,0,1,1,478,403,0,1,0,0,10,16118304,1,1
12506,257905,1,0,1,0,494,460,0,0,1,0,14,25790505,0,1
21123,176329,0,0,1,1,536,450,1,1,0,0,2,17632901,0,1
15702,130085,0,0,1,0,459,410,0,0,0,1,11,13008504,0,1
11516,244776,0,1,0,1,449,400,0,0,1,1,3,24477608,0,0
18641,209510,0,0,1,1,468,437,0,1,0,1,15,20951005,0,1
12924,193423,0,0,0,1,528,425,0,1,0,1,6,19342301,0,1
13473,205490,0,1,0,1,434,405,1,0,1,0,12,20549003,0,1
13852,166203,0,0,1,1,444,428,0,0,1,1,11,16620301,0,1
13492,244723,0,1,1,1,463,416,1,0,1,0,8,24472305,1,1
18650,159171,0,0,1,1,576,605,0,1,0,1,8,15917102,1,1
14907,257905,1,0,1,0,506,476,0,0,1,0,14,25790505,0,1
17775,128079,0,0,0,0,494,470,0,1,0,1,8,12807903,0,1
16136,191411,0,0,1,1,459,424,0,1,0,1,8,19141101,1,1
19786,189378,0,0,0,1,494,436,0,1,0,1,12,18937804,0,1
13854,244746,0,1,0,1,559,472,0,0,1,1,5,24474603,0,1
14177,170295,1,0,0,1,459,424,0,1,0,0,14,17029502,0,1
18762,244818,0,1,1,1,478,403,1,0,1,0,10,24481801,0,0
19048,244774,0,1,0,1,576,463,0,0,1,1,6,24477402,0,0
